act1,act2,experiment,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean
SiLU,Mish,BiGRU+BiGRU,5,87.726,0.158,0.196,87.47,87.86,87.65,0.49,88.228,87.196
Tanh,LeakyReLU,BiGRU+BiGRU,5,87.724,0.4,0.497,87.19,88.27,87.7,0.333,87.956,87.528
GELU,GELU,BiGRU+BiGRU,5,87.702,0.18,0.224,87.42,87.9,87.582,0.559,88.476,86.84
SiLU,Hardswish,BiGRU+BiGRU,5,87.702,0.096,0.119,87.61,87.84,87.686,0.47,87.86,87.66
GELU,Hardswish,BiGRU+BiGRU,5,87.688,0.182,0.226,87.45,87.88,87.654,0.443,87.952,87.496
SiLU,LeakyReLU,BiGRU+BiGRU,5,87.656,0.199,0.247,87.37,87.92,87.618,0.331,87.908,87.38
LeakyReLU,SELU,BiGRU+BiGRU,5,87.654,0.114,0.141,87.54,87.84,87.556,0.332,88.278,86.908
SELU,ReLU,BiGRU+BiGRU,5,87.648,0.289,0.358,87.31,88.05,87.63,0.35,87.802,87.524
Hardswish,ReLU,BiGRU+BiGRU,5,87.64,0.291,0.361,87.23,88.02,87.45,0.564,88.81,86.212
Hardswish,Tanh,BiGRU+BiGRU,5,87.636,0.316,0.393,87.29,88.02,87.768,0.413,86.848,88.728
Hardswish,Hardswish,BiGRU+BiGRU,5,87.62,0.228,0.283,87.4,87.98,87.492,0.464,88.428,86.672
ReLU,PReLU,BiGRU+BiGRU,5,87.612,0.14,0.174,87.41,87.77,87.546,0.304,88.03,87.112
Tanh,ReLU,BiGRU+BiGRU,5,87.604,0.263,0.327,87.26,87.96,87.522,0.489,88.102,87.02
LeakyReLU,Hardswish,BiGRU+BiGRU,5,87.602,0.196,0.244,87.29,87.8,87.676,0.219,87.162,88.208
GELU,SiLU,BiGRU+BiGRU,5,87.6,0.363,0.451,87.16,88.13,87.63,0.547,87.422,87.92
SiLU,SELU,BiGRU+BiGRU,5,87.6,0.517,0.642,87.07,88.39,87.752,0.515,86.732,88.852
ReLU,GELU,BiGRU+BiGRU,5,87.594,0.242,0.3,87.26,87.9,87.494,0.391,88.214,86.832
Mish,GELU,BiGRU+BiGRU,5,87.592,0.206,0.256,87.27,87.75,87.596,0.496,87.6,87.72
SiLU,PReLU,BiGRU+BiGRU,5,87.584,0.15,0.187,87.35,87.72,87.476,0.402,88.28,86.784
ELU,ELU,BiGRU+BiGRU,5,87.584,0.151,0.188,87.36,87.73,87.656,0.216,87.152,88.172
SELU,LeakyReLU,BiGRU+BiGRU,5,87.582,0.15,0.186,87.42,87.81,87.756,0.309,86.57,89.044
SiLU,GELU,BiGRU+BiGRU,5,87.578,0.113,0.141,87.45,87.7,87.492,0.483,88.152,86.98
Mish,ELU,BiGRU+BiGRU,5,87.568,0.214,0.266,87.29,87.82,87.738,0.401,86.55,89.016
LeakyReLU,GELU,BiGRU+BiGRU,5,87.562,0.264,0.328,87.25,87.97,87.474,0.597,88.104,86.956
ReLU,ReLU,BiGRU+BiGRU,5,87.558,0.189,0.234,87.35,87.79,87.49,0.514,87.992,87.124
LeakyReLU,SiLU,BiGRU+BiGRU,5,87.552,0.322,0.4,87.15,88.04,87.51,0.577,87.806,87.304
Mish,Hardswish,BiGRU+BiGRU,5,87.546,0.197,0.245,87.23,87.75,87.702,0.345,86.612,88.856
GELU,ELU,BiGRU+BiGRU,5,87.54,0.196,0.243,87.26,87.71,87.55,0.576,87.506,87.724
Hardswish,Mish,BiGRU+BiGRU,5,87.538,0.135,0.168,87.38,87.7,87.528,0.488,87.636,87.56
Mish,LeakyReLU,BiGRU+BiGRU,5,87.538,0.175,0.217,87.3,87.71,87.462,0.305,88.064,86.968
Mish,SiLU,BiGRU+BiGRU,5,87.534,0.326,0.405,87.04,87.85,87.464,0.779,87.976,87.14
Hardswish,SiLU,BiGRU+BiGRU,5,87.534,0.192,0.238,87.26,87.73,87.366,0.603,88.608,86.304
PReLU,ReLU,BiGRU+BiGRU,5,87.532,0.227,0.282,87.26,87.75,87.442,0.438,88.102,86.856
SiLU,SiLU,BiGRU+BiGRU,5,87.53,0.305,0.378,87.09,87.83,87.388,0.704,88.406,86.548
PReLU,Mish,BiGRU+BiGRU,5,87.53,0.304,0.377,87.26,87.95,87.37,0.606,88.526,86.368
GELU,ReLU,BiGRU+BiGRU,5,87.528,0.299,0.371,87.11,87.87,87.334,0.585,88.724,86.084
GELU,Mish,BiGRU+BiGRU,5,87.528,0.294,0.365,87.13,87.83,87.684,0.375,86.6,88.812
ReLU,Hardswish,BiGRU+BiGRU,5,87.524,0.337,0.419,87.12,87.9,87.374,0.677,88.434,86.456
Mish,Mish,BiGRU+BiGRU,5,87.524,0.205,0.255,87.22,87.79,87.71,0.326,86.43,89.064
Hardswish,LeakyReLU,BiGRU+BiGRU,5,87.518,0.307,0.382,87.12,87.92,87.544,0.337,87.408,87.76
Hardswish,GELU,BiGRU+BiGRU,5,87.516,0.263,0.326,87.14,87.85,87.352,0.638,88.536,86.324
ReLU,SiLU,BiGRU+BiGRU,5,87.514,0.249,0.309,87.12,87.81,87.458,0.595,87.884,87.156
ReLU,Tanh,BiGRU+BiGRU,5,87.514,0.32,0.397,86.95,87.72,87.62,0.407,86.896,88.412
ELU,GELU,BiGRU+BiGRU,5,87.506,0.172,0.214,87.3,87.69,87.494,0.495,87.594,87.508
PReLU,Hardswish,BiGRU+BiGRU,5,87.506,0.219,0.272,87.2,87.72,87.422,0.548,88.012,86.94
Tanh,PReLU,BiGRU+BiGRU,5,87.506,0.252,0.313,87.1,87.7,87.39,0.618,88.24,86.692
Tanh,GELU,BiGRU+BiGRU,5,87.504,0.117,0.146,87.35,87.67,87.626,0.348,86.832,88.544
PReLU,SiLU,BiGRU+BiGRU,5,87.502,0.261,0.324,87.21,87.83,87.446,0.564,87.91,87.16
ELU,PReLU,BiGRU+BiGRU,5,87.498,0.337,0.418,87.1,87.89,87.44,0.675,87.844,87.144
Mish,PReLU,BiGRU+BiGRU,5,87.498,0.234,0.291,87.18,87.79,87.394,0.577,88.174,86.76
ReLU,Mish,BiGRU+BiGRU,5,87.494,0.312,0.388,87.09,87.81,87.374,0.584,88.222,86.62
Tanh,Mish,BiGRU+BiGRU,5,87.494,0.3,0.372,87.04,87.87,87.602,0.46,86.846,88.42
ELU,LeakyReLU,BiGRU+BiGRU,5,87.494,0.318,0.395,87.17,87.96,87.422,0.541,87.948,86.988
LeakyReLU,Mish,BiGRU+BiGRU,5,87.48,0.298,0.37,87.05,87.78,87.48,0.483,87.506,87.54
Mish,SELU,BiGRU+BiGRU,5,87.48,0.334,0.415,87.1,87.88,87.678,0.312,86.348,89.092
ReLU,LeakyReLU,BiGRU+BiGRU,5,87.474,0.478,0.593,86.79,88.11,87.306,0.786,88.468,86.256
SiLU,Tanh,BiGRU+BiGRU,5,87.472,0.36,0.447,86.93,87.79,87.326,0.817,88.362,86.5
ELU,Tanh,BiGRU+BiGRU,5,87.472,0.288,0.358,87.14,87.73,87.584,0.387,86.79,88.42
GELU,PReLU,BiGRU+BiGRU,5,87.47,0.274,0.34,87.01,87.7,87.42,0.593,87.806,87.168
SELU,Mish,BiGRU+BiGRU,5,87.464,0.136,0.169,87.24,87.59,87.424,0.474,87.732,87.232
PReLU,LeakyReLU,BiGRU+BiGRU,5,87.462,0.477,0.592,86.66,87.88,87.412,0.864,87.768,87.216
Hardswish,SELU,BiGRU+BiGRU,5,87.456,0.248,0.308,87.1,87.8,87.302,0.586,88.404,86.32
PReLU,SELU,BiGRU+BiGRU,5,87.452,0.244,0.303,87.17,87.69,87.568,0.456,86.766,88.468
LeakyReLU,LeakyReLU,BiGRU+BiGRU,5,87.448,0.346,0.43,86.88,87.75,87.218,0.682,88.848,85.768
Hardswish,ELU,BiGRU+BiGRU,5,87.43,0.345,0.429,86.86,87.77,87.392,0.83,87.668,87.324
ELU,Hardswish,BiGRU+BiGRU,5,87.428,0.276,0.343,87.18,87.86,87.488,0.49,87.102,87.98
