Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiGRU+BiGRU
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiGRU+BiGRU_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 30]   1/100       ReLU+ReLU      acc= 87.55  ETA  83.9m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 10]   1/100       ReLU+ReLU      acc= 87.79  ETA  83.9m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 20]   1/100       ReLU+ReLU      acc= 87.40  ETA  83.9m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 40]   1/100       ReLU+ReLU      acc= 87.35  ETA  84.0m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 50]   1/100       ReLU+ReLU      acc= 87.70  ETA  83.9m
[seed 10]   2/100       ReLU+ELU       acc= 87.28  ETA  75.3m
[seed 40]   2/100       ReLU+ELU       acc= 87.02  ETA  75.3m
[seed 20]   2/100       ReLU+ELU       acc= 87.60  ETA  81.8m
[seed 30]   2/100       ReLU+ELU       acc= 87.19  ETA  81.9m
[seed 50]   2/100       ReLU+ELU       acc= 87.92  ETA  81.9m
[seed 10]   3/100       ReLU+LeakyReLU acc= 87.44  ETA  76.3m
[seed 40]   3/100       ReLU+LeakyReLU acc= 86.79  ETA  76.3m
[seed 20]   3/100       ReLU+LeakyReLU acc= 87.38  ETA  80.6m
[seed 30]   3/100       ReLU+LeakyReLU acc= 88.11  ETA  80.7m
[seed 50]   3/100       ReLU+LeakyReLU acc= 87.65  ETA  80.7m
[seed 40]   4/100       ReLU+Tanh      acc= 86.95  ETA  73.2m
[seed 10]   4/100       ReLU+Tanh      acc= 87.65  ETA  76.3m
[seed 20]   4/100       ReLU+Tanh      acc= 87.72  ETA  79.5m
[seed 30]   4/100       ReLU+Tanh      acc= 87.57  ETA  79.6m
[seed 50]   4/100       ReLU+Tanh      acc= 87.68  ETA  79.6m
[seed 40]   5/100       ReLU+GELU      acc= 87.74  ETA  73.5m
[seed 10]   5/100       ReLU+GELU      acc= 87.54  ETA  76.0m
[seed 20]   5/100       ReLU+GELU      acc= 87.26  ETA  78.5m
[seed 50]   5/100       ReLU+GELU      acc= 87.53  ETA  78.6m
[seed 30]   5/100       ReLU+GELU      acc= 87.90  ETA  78.7m
[seed 40]   6/100       ReLU+SiLU      acc= 87.52  ETA  73.5m
[seed 10]   6/100       ReLU+SiLU      acc= 87.12  ETA  75.5m
[seed 20]   6/100       ReLU+SiLU      acc= 87.54  ETA  77.6m
[seed 50]   6/100       ReLU+SiLU      acc= 87.58  ETA  77.7m
[seed 30]   6/100       ReLU+SiLU      acc= 87.81  ETA  77.7m
[seed 10]   7/100       ReLU+Mish      acc= 87.36  ETA  73.4m
[seed 40]   7/100       ReLU+Mish      acc= 87.09  ETA  73.6m
