act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,ReLU,BiGRU+BiGRU,40,87.35,90.82,83.1,86.79,3,6
ReLU,ELU,BiGRU+BiGRU,40,87.02,86.67,87.5,87.08,2,5
ReLU,LeakyReLU,BiGRU+BiGRU,40,86.79,90.91,81.76,86.09,3,6
ReLU,Tanh,BiGRU+BiGRU,40,86.95,86.59,87.44,87.01,2,5
ReLU,GELU,BiGRU+BiGRU,40,87.74,89.48,85.54,87.46,3,6
ReLU,SiLU,BiGRU+BiGRU,40,87.52,90.22,84.16,87.09,3,6
ReLU,Mish,BiGRU+BiGRU,40,87.09,90.64,82.72,86.5,3,6
ReLU,SELU,BiGRU+BiGRU,40,87.68,89.61,85.24,87.37,3,6
ReLU,PReLU,BiGRU+BiGRU,40,87.69,89.01,86.0,87.48,3,6
ReLU,Hardswish,BiGRU+BiGRU,40,87.48,89.94,84.4,87.08,3,6
ELU,ReLU,BiGRU+BiGRU,40,86.99,91.09,82.0,86.31,3,6
ELU,ELU,BiGRU+BiGRU,40,87.72,87.64,87.82,87.73,4,7
ELU,LeakyReLU,BiGRU+BiGRU,40,87.17,90.24,83.36,86.66,3,6
ELU,Tanh,BiGRU+BiGRU,40,87.19,85.86,89.04,87.42,2,5
ELU,GELU,BiGRU+BiGRU,40,87.3,87.53,87.0,87.26,2,5
ELU,SiLU,BiGRU+BiGRU,40,86.91,86.29,87.76,87.02,2,5
ELU,Mish,BiGRU+BiGRU,40,86.66,91.85,80.46,85.78,3,6
ELU,SELU,BiGRU+BiGRU,40,86.88,87.59,85.94,86.76,2,5
ELU,PReLU,BiGRU+BiGRU,40,87.1,90.75,82.62,86.49,3,6
ELU,Hardswish,BiGRU+BiGRU,40,87.18,86.57,88.02,87.29,2,5
LeakyReLU,ReLU,BiGRU+BiGRU,40,87.01,91.13,82.0,86.32,3,6
LeakyReLU,ELU,BiGRU+BiGRU,40,87.02,85.9,88.58,87.22,2,5
LeakyReLU,LeakyReLU,BiGRU+BiGRU,40,86.88,91.01,81.84,86.18,3,6
LeakyReLU,Tanh,BiGRU+BiGRU,40,87.4,90.56,83.5,86.89,3,6
