act1,act2,experiment,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean,single,delta,cell
ReLU,LeakyReLU,BiGRU+GRU,5,87.806,0.167,0.207,87.52,87.93,87.796,0.244,87.876,87.744,87.81,-0.0040000000000048885,ReLU+LeakyReLU
PReLU,ReLU,BiGRU+GRU,5,87.712,0.175,0.218,87.48,87.87,87.666,0.217,88.016,87.356,87.73,-0.018000000000000682,PReLU+ReLU
Tanh,GELU,BiGRU+GRU,5,87.712,0.288,0.357,87.42,88.1,87.752,0.229,87.502,88.056,87.98,-0.2680000000000007,Tanh+GELU
PReLU,GELU,BiGRU+GRU,5,87.682,0.277,0.344,87.21,87.89,87.714,0.575,87.49,88.016,87.33,0.35200000000000387,PReLU+GELU
SiLU,GELU,BiGRU+GRU,5,87.682,0.18,0.223,87.43,87.86,87.63,0.415,87.996,87.324,87.1,0.5820000000000078,SiLU+GELU
SELU,Tanh,BiGRU+GRU,5,87.672,0.305,0.378,87.47,88.21,87.67,0.441,87.706,87.704,87.29,0.3819999999999908,SELU+Tanh
ReLU,GELU,BiGRU+GRU,5,87.67,0.195,0.242,87.48,87.94,87.754,0.104,87.17,88.36,87.74,-0.06999999999999318,ReLU+GELU
PReLU,SiLU,BiGRU+GRU,5,87.65,0.268,0.333,87.36,88.0,87.652,0.456,87.642,87.72,87.87,-0.21999999999999886,PReLU+SiLU
Tanh,LeakyReLU,BiGRU+GRU,5,87.63,0.305,0.379,87.13,87.87,87.776,0.26,86.834,88.844,87.24,0.39000000000000057,Tanh+LeakyReLU
Hardswish,GELU,BiGRU+GRU,5,87.626,0.297,0.369,87.24,87.87,87.6,0.411,87.78,87.448,87.08,0.5460000000000065,Hardswish+GELU
SiLU,ELU,BiGRU+GRU,5,87.626,0.332,0.413,87.34,88.16,87.548,0.592,88.082,87.108,87.35,0.27600000000001046,SiLU+ELU
Hardswish,Mish,BiGRU+GRU,5,87.626,0.171,0.212,87.37,87.81,87.658,0.315,87.42,87.928,87.4,0.2259999999999991,Hardswish+Mish
ELU,SiLU,BiGRU+GRU,5,87.626,0.27,0.335,87.38,88.07,87.606,0.368,87.768,87.492,87.32,0.3060000000000116,ELU+SiLU
Hardswish,ReLU,BiGRU+GRU,5,87.622,0.325,0.404,87.09,87.86,87.554,0.617,88.042,87.16,87.44,0.18200000000000216,Hardswish+ReLU
SELU,Hardswish,BiGRU+GRU,5,87.612,0.434,0.539,86.88,87.97,87.578,0.832,87.798,87.496,87.33,0.2819999999999965,SELU+Hardswish
SiLU,SELU,BiGRU+GRU,5,87.606,0.268,0.333,87.3,87.91,87.622,0.284,87.564,87.768,86.92,0.6859999999999928,SiLU+SELU
ELU,Mish,BiGRU+GRU,5,87.602,0.163,0.202,87.37,87.77,87.606,0.258,87.586,87.64,87.29,0.3119999999999976,ELU+Mish
ReLU,Tanh,BiGRU+GRU,5,87.602,0.237,0.294,87.31,87.88,87.6,0.476,87.616,87.664,87.43,0.17199999999999704,ReLU+Tanh
LeakyReLU,SiLU,BiGRU+GRU,5,87.602,0.422,0.524,87.03,88.11,87.504,0.56,88.194,86.848,86.8,0.8020000000000067,LeakyReLU+SiLU
LeakyReLU,GELU,BiGRU+GRU,5,87.6,0.29,0.36,87.29,88.03,87.766,0.114,86.656,88.96,87.24,0.35999999999999943,LeakyReLU+GELU
GELU,Tanh,BiGRU+GRU,5,87.598,0.282,0.35,87.26,88.01,87.668,0.474,87.21,88.22,87.13,0.4680000000000035,GELU+Tanh
SiLU,SiLU,BiGRU+GRU,5,87.598,0.219,0.272,87.43,87.94,87.396,0.432,88.836,86.048,87.65,-0.05200000000000671,SiLU+SiLU
ELU,PReLU,BiGRU+GRU,5,87.594,0.396,0.492,86.96,87.96,87.7,0.344,86.97,88.46,88.02,-0.42600000000000193,ELU+PReLU
PReLU,PReLU,BiGRU+GRU,5,87.592,0.406,0.504,87.09,88.22,87.56,0.638,87.76,87.428,87.52,0.07200000000000273,PReLU+PReLU
Hardswish,LeakyReLU,BiGRU+GRU,5,87.59,0.251,0.312,87.3,87.83,87.682,0.24,87.06,88.348,86.96,0.6300000000000097,Hardswish+LeakyReLU
SiLU,Hardswish,BiGRU+GRU,5,87.59,0.333,0.414,87.18,87.94,87.642,0.451,87.294,88.076,87.58,0.010000000000005116,SiLU+Hardswish
GELU,Hardswish,BiGRU+GRU,5,87.588,0.253,0.315,87.26,87.91,87.43,0.58,88.564,86.428,87.26,0.32799999999998875,GELU+Hardswish
