act1,act2,experiment,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean
ReLU,LeakyReLU,BiGRU+GRU,5,87.806,0.167,0.207,87.52,87.93,87.796,0.244,87.876,87.744
PReLU,ReLU,BiGRU+GRU,5,87.712,0.175,0.218,87.48,87.87,87.666,0.217,88.016,87.356
Tanh,GELU,BiGRU+GRU,5,87.712,0.288,0.357,87.42,88.1,87.752,0.229,87.502,88.056
PReLU,GELU,BiGRU+GRU,5,87.682,0.277,0.344,87.21,87.89,87.714,0.575,87.49,88.016
SiLU,GELU,BiGRU+GRU,5,87.682,0.18,0.223,87.43,87.86,87.63,0.415,87.996,87.324
SELU,Tanh,BiGRU+GRU,5,87.672,0.305,0.378,87.47,88.21,87.67,0.441,87.706,87.704
ReLU,GELU,BiGRU+GRU,5,87.67,0.195,0.242,87.48,87.94,87.754,0.104,87.17,88.36
PReLU,SiLU,BiGRU+GRU,5,87.65,0.268,0.333,87.36,88.0,87.652,0.456,87.642,87.72
Tanh,LeakyReLU,BiGRU+GRU,5,87.63,0.305,0.379,87.13,87.87,87.776,0.26,86.834,88.844
Hardswish,GELU,BiGRU+GRU,5,87.626,0.297,0.369,87.24,87.87,87.6,0.411,87.78,87.448
SiLU,ELU,BiGRU+GRU,5,87.626,0.332,0.413,87.34,88.16,87.548,0.592,88.082,87.108
Hardswish,Mish,BiGRU+GRU,5,87.626,0.171,0.212,87.37,87.81,87.658,0.315,87.42,87.928
ELU,SiLU,BiGRU+GRU,5,87.626,0.27,0.335,87.38,88.07,87.606,0.368,87.768,87.492
Hardswish,ReLU,BiGRU+GRU,5,87.622,0.325,0.404,87.09,87.86,87.554,0.617,88.042,87.16
SELU,Hardswish,BiGRU+GRU,5,87.612,0.434,0.539,86.88,87.97,87.578,0.832,87.798,87.496
SiLU,SELU,BiGRU+GRU,5,87.606,0.268,0.333,87.3,87.91,87.622,0.284,87.564,87.768
ELU,Mish,BiGRU+GRU,5,87.602,0.163,0.202,87.37,87.77,87.606,0.258,87.586,87.64
ReLU,Tanh,BiGRU+GRU,5,87.602,0.237,0.294,87.31,87.88,87.6,0.476,87.616,87.664
LeakyReLU,SiLU,BiGRU+GRU,5,87.602,0.422,0.524,87.03,88.11,87.504,0.56,88.194,86.848
LeakyReLU,GELU,BiGRU+GRU,5,87.6,0.29,0.36,87.29,88.03,87.766,0.114,86.656,88.96
GELU,Tanh,BiGRU+GRU,5,87.598,0.282,0.35,87.26,88.01,87.668,0.474,87.21,88.22
SiLU,SiLU,BiGRU+GRU,5,87.598,0.219,0.272,87.43,87.94,87.396,0.432,88.836,86.048
ELU,PReLU,BiGRU+GRU,5,87.594,0.396,0.492,86.96,87.96,87.7,0.344,86.97,88.46
PReLU,PReLU,BiGRU+GRU,5,87.592,0.406,0.504,87.09,88.22,87.56,0.638,87.76,87.428
Hardswish,LeakyReLU,BiGRU+GRU,5,87.59,0.251,0.312,87.3,87.83,87.682,0.24,87.06,88.348
SiLU,Hardswish,BiGRU+GRU,5,87.59,0.333,0.414,87.18,87.94,87.642,0.451,87.294,88.076
GELU,Hardswish,BiGRU+GRU,5,87.588,0.253,0.315,87.26,87.91,87.43,0.58,88.564,86.428
PReLU,Hardswish,BiGRU+GRU,5,87.58,0.338,0.419,87.07,87.95,87.614,0.306,87.376,87.872
Mish,Mish,BiGRU+GRU,5,87.576,0.303,0.376,87.24,87.83,87.484,0.591,88.126,86.924
Mish,PReLU,BiGRU+GRU,5,87.57,0.2,0.249,87.34,87.82,87.444,0.346,88.352,86.592
GELU,GELU,BiGRU+GRU,5,87.57,0.396,0.492,86.97,87.96,87.436,0.711,88.372,86.604
GELU,PReLU,BiGRU+GRU,5,87.566,0.406,0.505,86.89,87.94,87.344,0.617,88.924,85.876
LeakyReLU,ReLU,BiGRU+GRU,5,87.56,0.254,0.316,87.3,87.89,87.522,0.331,87.804,87.284
Mish,GELU,BiGRU+GRU,5,87.55,0.215,0.267,87.25,87.76,87.386,0.391,88.566,86.272
SELU,ELU,BiGRU+GRU,5,87.544,0.292,0.362,87.09,87.83,87.528,0.402,87.662,87.444
SiLU,PReLU,BiGRU+GRU,5,87.544,0.503,0.624,87.03,88.05,87.594,0.65,87.26,88.008
Hardswish,Tanh,BiGRU+GRU,5,87.534,0.272,0.338,87.06,87.74,87.388,0.542,88.43,86.456
PReLU,ELU,BiGRU+GRU,5,87.532,0.188,0.234,87.25,87.75,87.428,0.303,88.174,86.716
SELU,SiLU,BiGRU+GRU,5,87.53,0.316,0.392,86.97,87.71,87.546,0.714,87.436,87.808
Hardswish,Hardswish,BiGRU+GRU,5,87.528,0.327,0.406,86.99,87.86,87.368,0.659,88.51,86.352
GELU,Mish,BiGRU+GRU,5,87.524,0.27,0.335,87.26,87.89,87.46,0.463,87.938,87.072
SiLU,LeakyReLU,BiGRU+GRU,5,87.52,0.175,0.217,87.24,87.72,87.558,0.483,87.326,87.912
Mish,SiLU,BiGRU+GRU,5,87.52,0.286,0.355,87.27,87.92,87.442,0.554,88.0,86.956
ELU,GELU,BiGRU+GRU,5,87.518,0.492,0.611,86.64,87.76,87.43,0.849,88.012,86.964
Mish,ReLU,BiGRU+GRU,5,87.514,0.387,0.48,86.86,87.86,87.38,0.666,88.312,86.568
ELU,Hardswish,BiGRU+GRU,5,87.51,0.499,0.62,86.75,88.0,87.626,0.421,86.87,88.444
LeakyReLU,Hardswish,BiGRU+GRU,5,87.506,0.126,0.157,87.31,87.64,87.448,0.241,87.872,87.064
SiLU,Tanh,BiGRU+GRU,5,87.506,0.433,0.538,86.76,87.86,87.258,0.705,89.046,85.644
Tanh,Hardswish,BiGRU+GRU,5,87.502,0.313,0.388,87.02,87.84,87.448,0.642,87.834,87.172
GELU,ELU,BiGRU+GRU,5,87.5,0.353,0.438,87.15,88.09,87.46,0.446,87.802,87.224
SELU,GELU,BiGRU+GRU,5,87.492,0.343,0.426,87.17,87.88,87.622,0.449,86.76,88.568
ReLU,ReLU,BiGRU+GRU,5,87.488,0.31,0.385,87.09,87.86,87.384,0.575,88.124,86.748
PReLU,SELU,BiGRU+GRU,5,87.482,0.425,0.528,86.83,88.01,87.41,0.731,87.89,87.016
ReLU,Hardswish,BiGRU+GRU,5,87.478,0.403,0.5,86.81,87.9,87.352,0.718,88.242,86.604
SELU,SELU,BiGRU+GRU,5,87.478,0.58,0.72,86.62,88.12,87.39,0.901,87.984,86.904
LeakyReLU,Mish,BiGRU+GRU,5,87.474,0.192,0.238,87.14,87.62,87.484,0.424,87.442,87.604
Mish,Hardswish,BiGRU+GRU,5,87.472,0.419,0.521,87.0,87.95,87.572,0.663,86.876,88.372
LeakyReLU,ELU,BiGRU+GRU,5,87.47,0.421,0.523,86.92,87.98,87.5,0.548,87.286,87.752
SELU,Mish,BiGRU+GRU,5,87.462,0.309,0.384,87.08,87.89,87.528,0.583,87.06,88.088
PReLU,Mish,BiGRU+GRU,5,87.462,0.114,0.142,87.29,87.56,87.364,0.247,88.082,86.708
ELU,ELU,BiGRU+GRU,5,87.46,0.474,0.589,86.66,87.93,87.34,0.712,88.152,86.6
LeakyReLU,PReLU,BiGRU+GRU,5,87.458,0.348,0.432,86.88,87.76,87.364,0.618,88.016,86.792
GELU,SELU,BiGRU+GRU,5,87.452,0.417,0.517,86.99,87.88,87.216,0.607,88.868,85.668
Tanh,Mish,BiGRU+GRU,5,87.452,0.342,0.425,86.89,87.81,87.276,0.648,88.524,86.136
PReLU,Tanh,BiGRU+GRU,5,87.448,0.527,0.654,86.89,88.07,87.338,0.729,88.104,86.684
Mish,SELU,BiGRU+GRU,5,87.432,0.508,0.63,86.87,88.18,87.32,0.857,88.09,86.684
GELU,SiLU,BiGRU+GRU,5,87.432,0.154,0.191,87.25,87.6,87.524,0.204,86.944,88.188
ELU,Tanh,BiGRU+GRU,5,87.428,0.245,0.305,87.14,87.73,87.156,0.473,89.08,85.356
Hardswish,PReLU,BiGRU+GRU,5,87.424,0.183,0.227,87.22,87.64,87.46,0.452,87.224,87.76
Hardswish,SiLU,BiGRU+GRU,5,87.422,0.46,0.571,86.82,87.9,87.166,0.784,88.942,85.548
Mish,ELU,BiGRU+GRU,5,87.418,0.269,0.334,87.05,87.67,87.486,0.462,87.004,88.016
Hardswish,SELU,BiGRU+GRU,5,87.416,0.377,0.468,86.76,87.72,87.278,0.753,88.242,86.472
PReLU,LeakyReLU,BiGRU+GRU,5,87.408,0.437,0.542,86.66,87.69,87.164,0.65,88.88,85.56
LeakyReLU,LeakyReLU,BiGRU+GRU,5,87.404,0.708,0.88,86.18,87.88,87.172,1.038,88.752,85.76
SELU,ReLU,BiGRU+GRU,5,87.402,0.318,0.394,86.95,87.84,87.388,0.414,87.502,87.308
GELU,LeakyReLU,BiGRU+GRU,5,87.398,0.549,0.681,86.57,87.91,87.274,0.8,88.122,86.504
LeakyReLU,Tanh,BiGRU+GRU,5,87.388,0.55,0.682,86.7,88.2,87.38,0.803,87.45,87.444
ReLU,Mish,BiGRU+GRU,5,87.388,0.699,0.868,86.17,87.96,87.264,1.031,88.076,86.584
GELU,ReLU,BiGRU+GRU,5,87.382,0.187,0.232,87.06,87.55,87.302,0.4,87.876,86.78
Tanh,ELU,BiGRU+GRU,5,87.354,0.144,0.179,87.16,87.53,87.374,0.214,87.25,87.524
SiLU,Mish,BiGRU+GRU,5,87.346,0.381,0.473,86.73,87.72,87.616,0.286,85.82,89.552
Mish,Tanh,BiGRU+GRU,5,87.342,0.325,0.404,86.82,87.62,87.398,0.434,87.1,87.844
Tanh,SiLU,BiGRU+GRU,5,87.332,0.446,0.553,86.64,87.78,87.134,0.84,88.506,85.96
Tanh,PReLU,BiGRU+GRU,5,87.326,0.222,0.276,87.06,87.56,87.172,0.353,88.252,86.172
ReLU,ELU,BiGRU+GRU,5,87.322,0.668,0.83,86.45,87.92,87.186,1.043,88.086,86.456
ReLU,PReLU,BiGRU+GRU,5,87.31,0.207,0.257,87.13,87.57,87.164,0.547,88.196,86.284
ReLU,SiLU,BiGRU+GRU,5,87.304,0.549,0.682,86.33,87.61,87.198,0.93,87.902,86.62
Mish,LeakyReLU,BiGRU+GRU,5,87.29,0.546,0.678,86.4,87.76,87.234,0.899,87.562,87.012
LeakyReLU,SELU,BiGRU+GRU,5,87.28,0.457,0.567,86.93,88.08,87.206,0.603,87.756,86.76
Hardswish,ELU,BiGRU+GRU,5,87.28,0.392,0.487,86.63,87.62,87.114,0.77,88.266,86.136
SELU,PReLU,BiGRU+GRU,5,87.252,0.319,0.396,86.89,87.61,87.03,0.716,88.594,85.676
SiLU,ReLU,BiGRU+GRU,5,87.234,0.439,0.545,86.76,87.75,87.234,0.793,87.226,87.38
ELU,ReLU,BiGRU+GRU,5,87.218,0.65,0.807,86.32,87.98,87.082,1.08,87.978,86.372
ELU,LeakyReLU,BiGRU+GRU,5,87.21,0.51,0.633,86.55,87.75,87.026,0.838,88.262,85.92
Tanh,SELU,BiGRU+GRU,5,87.206,0.246,0.306,86.86,87.49,87.274,0.415,86.874,87.8
ELU,SELU,BiGRU+GRU,5,87.2,0.34,0.422,86.7,87.6,87.052,0.768,88.068,86.216
ReLU,SELU,BiGRU+GRU,5,87.186,0.777,0.965,85.82,87.67,86.978,1.224,88.34,85.8
Tanh,Tanh,BiGRU+GRU,5,87.15,0.272,0.337,86.91,87.53,87.084,0.612,87.55,86.756
SELU,LeakyReLU,BiGRU+GRU,5,87.124,0.329,0.408,86.73,87.5,87.014,0.348,87.91,86.316
