Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiGRU+GRU
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiGRU+GRU_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 40]   1/100       ReLU+ReLU      acc= 87.86  ETA  76.8m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 50]   1/100       ReLU+ReLU      acc= 87.66  ETA  76.8m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 10]   1/100       ReLU+ReLU      acc= 87.09  ETA  76.8m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 20]   1/100       ReLU+ReLU      acc= 87.26  ETA  76.8m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 30]   1/100       ReLU+ReLU      acc= 87.57  ETA  88.9m
[seed 40]   2/100       ReLU+ELU       acc= 87.90  ETA  74.7m
[seed 20]   2/100       ReLU+ELU       acc= 86.79  ETA  74.7m
[seed 10]   2/100       ReLU+ELU       acc= 86.45  ETA  74.7m
[seed 50]   2/100       ReLU+ELU       acc= 87.55  ETA  74.7m
[seed 30]   2/100       ReLU+ELU       acc= 87.92  ETA  86.9m
[seed 40]   3/100       ReLU+LeakyReLU acc= 87.82  ETA  73.4m
[seed 50]   3/100       ReLU+LeakyReLU acc= 87.52  ETA  73.5m
[seed 20]   3/100       ReLU+LeakyReLU acc= 87.92  ETA  73.5m
[seed 10]   3/100       ReLU+LeakyReLU acc= 87.93  ETA  77.5m
[seed 30]   3/100       ReLU+LeakyReLU acc= 87.84  ETA  85.5m
[seed 40]   4/100       ReLU+Tanh      acc= 87.44  ETA  72.4m
[seed 50]   4/100       ReLU+Tanh      acc= 87.59  ETA  72.5m
[seed 20]   4/100       ReLU+Tanh      acc= 87.31  ETA  75.4m
[seed 10]   4/100       ReLU+Tanh      acc= 87.79  ETA  78.4m
[seed 30]   4/100       ReLU+Tanh      acc= 87.88  ETA  81.3m
[seed 40]   5/100       ReLU+GELU      acc= 87.80  ETA  71.5m
[seed 50]   5/100       ReLU+GELU      acc= 87.48  ETA  71.6m
[seed 20]   5/100       ReLU+GELU      acc= 87.61  ETA  73.9m
[seed 10]   5/100       ReLU+GELU      acc= 87.52  ETA  78.6m
[seed 30]   5/100       ReLU+GELU      acc= 87.94  ETA  78.6m
[seed 50]   6/100       ReLU+SiLU      acc= 87.44  ETA  70.8m
[seed 40]   6/100       ReLU+SiLU      acc= 87.53  ETA  72.6m
[seed 20]   6/100       ReLU+SiLU      acc= 87.61  ETA  72.7m
[seed 10]   6/100       ReLU+SiLU      acc= 86.33  ETA  76.5m
[seed 30]   6/100       ReLU+SiLU      acc= 87.61  ETA  76.5m
[seed 50]   7/100       ReLU+Mish      acc= 87.58  ETA  70.0m
[seed 40]   7/100       ReLU+Mish      acc= 87.56  ETA  73.2m
