act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,ReLU,BiGRU+GRU,10,87.09,90.15,83.28,86.58,3,6
ReLU,ELU,BiGRU+GRU,10,86.45,91.58,80.28,85.56,3,6
ReLU,LeakyReLU,BiGRU+GRU,10,87.93,87.59,88.38,87.98,4,7
ReLU,Tanh,BiGRU+GRU,10,87.79,86.19,90.0,88.05,4,7
ReLU,GELU,BiGRU+GRU,10,87.52,86.2,89.34,87.74,4,7
ReLU,SiLU,BiGRU+GRU,10,86.33,90.81,80.84,85.54,3,6
ReLU,Mish,BiGRU+GRU,10,86.17,90.07,81.3,85.46,3,6
ReLU,SELU,BiGRU+GRU,10,87.67,88.37,86.76,87.56,4,7
ReLU,PReLU,BiGRU+GRU,10,87.49,85.1,90.9,87.9,4,7
ReLU,Hardswish,BiGRU+GRU,10,86.81,90.91,81.8,86.11,3,6
ELU,ReLU,BiGRU+GRU,10,86.32,90.54,81.12,85.57,3,6
ELU,ELU,BiGRU+GRU,10,86.66,89.28,83.32,86.2,3,6
ELU,LeakyReLU,BiGRU+GRU,10,86.55,89.58,82.72,86.01,3,6
ELU,Tanh,BiGRU+GRU,10,87.39,89.6,84.6,87.03,3,6
ELU,GELU,BiGRU+GRU,10,87.76,87.55,88.04,87.79,4,7
ELU,SiLU,BiGRU+GRU,10,87.38,85.79,89.6,87.65,4,7
ELU,Mish,BiGRU+GRU,10,87.68,86.38,89.46,87.9,4,7
ELU,SELU,BiGRU+GRU,10,87.6,85.18,91.04,88.01,4,7
ELU,PReLU,BiGRU+GRU,10,87.96,87.78,88.2,87.99,4,7
ELU,Hardswish,BiGRU+GRU,10,87.28,86.29,88.64,87.45,4,7
LeakyReLU,ReLU,BiGRU+GRU,10,87.61,86.34,89.36,87.82,4,7
LeakyReLU,ELU,BiGRU+GRU,10,87.51,86.28,89.2,87.72,4,7
LeakyReLU,LeakyReLU,BiGRU+GRU,10,86.18,90.52,80.82,85.4,3,6
LeakyReLU,Tanh,BiGRU+GRU,10,86.7,90.42,82.1,86.06,3,6
LeakyReLU,GELU,BiGRU+GRU,10,87.56,86.12,89.56,87.8,4,7
LeakyReLU,SiLU,BiGRU+GRU,10,87.03,89.27,84.18,86.65,3,6
LeakyReLU,Mish,BiGRU+GRU,10,87.56,86.03,89.68,87.82,4,7
LeakyReLU,SELU,BiGRU+GRU,10,86.93,90.18,82.88,86.38,3,6
LeakyReLU,PReLU,BiGRU+GRU,10,87.53,86.66,88.72,87.68,4,7
LeakyReLU,Hardswish,BiGRU+GRU,10,87.31,86.9,87.86,87.38,4,7
Tanh,ReLU,BiGRU+GRU,10,87.35,85.15,90.48,87.73,4,7
Tanh,ELU,BiGRU+GRU,10,87.53,86.98,88.28,87.62,4,7
Tanh,LeakyReLU,BiGRU+GRU,10,87.56,87.88,87.14,87.51,4,7
Tanh,Tanh,BiGRU+GRU,10,87.02,85.22,89.58,87.34,4,7
Tanh,GELU,BiGRU+GRU,10,87.47,85.01,90.98,87.89,4,7
Tanh,SiLU,BiGRU+GRU,10,86.64,91.08,81.24,85.88,3,6
Tanh,Mish,BiGRU+GRU,10,87.58,86.87,88.54,87.7,4,7
Tanh,SELU,BiGRU+GRU,10,86.86,84.81,89.8,87.24,4,7
Tanh,PReLU,BiGRU+GRU,10,87.42,89.66,84.6,87.05,5,8
Tanh,Hardswish,BiGRU+GRU,10,87.52,85.62,90.18,87.84,4,7
GELU,ReLU,BiGRU+GRU,10,87.44,86.22,89.12,87.65,4,7
