act1,act2,experiment,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean
ReLU,Hardswish,BiLSTM+BiLSTM,5,87.136,0.261,0.324,86.83,87.53,86.976,0.21,88.11,85.908
LeakyReLU,Mish,BiLSTM+BiLSTM,5,87.126,0.272,0.338,86.88,87.59,87.0,0.419,87.86,86.188
PReLU,SiLU,BiLSTM+BiLSTM,5,87.126,0.546,0.678,86.42,87.68,87.188,0.531,86.786,87.62
Hardswish,Tanh,BiLSTM+BiLSTM,5,87.064,0.346,0.43,86.57,87.38,87.088,0.35,86.96,87.264
GELU,Mish,BiLSTM+BiLSTM,5,87.056,0.31,0.385,86.61,87.44,86.958,0.548,87.634,86.356
ReLU,ReLU,BiLSTM+BiLSTM,5,87.042,0.237,0.294,86.85,87.41,87.124,0.429,86.574,87.732
SiLU,ELU,BiLSTM+BiLSTM,5,87.034,0.659,0.818,85.97,87.67,86.856,1.018,88.02,85.844
Mish,SiLU,BiLSTM+BiLSTM,5,87.03,0.402,0.499,86.66,87.64,86.962,0.609,87.41,86.556
ReLU,ELU,BiLSTM+BiLSTM,5,87.022,0.306,0.38,86.71,87.45,87.084,0.515,86.69,87.56
PReLU,ELU,BiLSTM+BiLSTM,5,87.014,0.442,0.549,86.5,87.35,87.028,0.303,86.982,87.112
ReLU,Tanh,BiLSTM+BiLSTM,5,87.004,0.633,0.786,86.12,87.82,86.942,0.831,87.312,86.608
SELU,LeakyReLU,BiLSTM+BiLSTM,5,87.002,0.433,0.538,86.48,87.58,87.034,0.555,86.85,87.284
SELU,SiLU,BiLSTM+BiLSTM,5,87.002,0.378,0.469,86.49,87.46,86.872,0.623,87.732,86.096
GELU,ELU,BiLSTM+BiLSTM,5,86.99,0.364,0.452,86.43,87.4,86.926,0.362,87.374,86.508
GELU,ReLU,BiLSTM+BiLSTM,5,86.986,0.547,0.679,86.27,87.77,86.91,0.824,87.4,86.52
GELU,LeakyReLU,BiLSTM+BiLSTM,5,86.956,0.18,0.223,86.82,87.24,87.138,0.158,85.968,88.4
Mish,ELU,BiLSTM+BiLSTM,5,86.95,0.496,0.615,86.46,87.61,86.92,0.713,87.114,86.796
LeakyReLU,ReLU,BiLSTM+BiLSTM,5,86.94,0.67,0.831,86.4,87.71,86.824,0.838,87.596,86.128
SiLU,Tanh,BiLSTM+BiLSTM,5,86.92,0.404,0.501,86.48,87.34,86.73,0.456,88.01,85.488
PReLU,Tanh,BiLSTM+BiLSTM,5,86.92,0.319,0.395,86.36,87.14,87.048,0.343,86.216,87.9
GELU,GELU,BiLSTM+BiLSTM,5,86.912,0.33,0.409,86.41,87.21,86.786,0.43,87.668,85.976
Mish,Hardswish,BiLSTM+BiLSTM,5,86.898,0.493,0.612,86.33,87.47,87.022,0.584,86.242,87.892
Mish,GELU,BiLSTM+BiLSTM,5,86.898,0.713,0.885,85.66,87.45,86.92,1.061,86.71,87.228
ELU,ReLU,BiLSTM+BiLSTM,5,86.892,0.654,0.812,85.81,87.51,87.028,0.628,86.168,87.948
Mish,ReLU,BiLSTM+BiLSTM,5,86.892,0.266,0.331,86.54,87.16,86.7,0.382,87.988,85.464
PReLU,LeakyReLU,BiLSTM+BiLSTM,5,86.884,0.432,0.537,86.31,87.39,86.608,0.607,88.452,84.872
Tanh,LeakyReLU,BiLSTM+BiLSTM,5,86.874,0.635,0.788,86.02,87.81,86.848,0.761,86.982,86.732
Hardswish,GELU,BiLSTM+BiLSTM,5,86.872,0.752,0.933,85.77,87.79,86.91,0.906,86.644,87.228
ELU,Mish,BiLSTM+BiLSTM,5,86.86,0.472,0.586,86.2,87.47,86.644,0.645,88.078,85.308
ReLU,SiLU,BiLSTM+BiLSTM,5,86.858,0.724,0.9,85.98,87.66,86.784,0.932,87.29,86.404
PReLU,ReLU,BiLSTM+BiLSTM,5,86.858,0.204,0.253,86.61,87.16,86.682,0.469,87.892,85.584
SELU,Hardswish,BiLSTM+BiLSTM,5,86.856,0.36,0.447,86.57,87.44,86.982,0.579,86.2,87.896
SELU,Mish,BiLSTM+BiLSTM,5,86.854,0.405,0.503,86.32,87.31,86.814,0.604,87.058,86.62
LeakyReLU,ELU,BiLSTM+BiLSTM,5,86.85,0.595,0.739,86.15,87.52,86.854,0.863,86.794,86.996
Hardswish,ReLU,BiLSTM+BiLSTM,5,86.848,0.35,0.435,86.44,87.28,86.928,0.447,86.402,87.496
PReLU,Mish,BiLSTM+BiLSTM,5,86.834,0.473,0.587,86.27,87.27,86.662,0.577,87.81,85.576
ELU,Hardswish,BiLSTM+BiLSTM,5,86.832,0.48,0.596,86.11,87.38,86.698,0.715,87.566,85.892
LeakyReLU,PReLU,BiLSTM+BiLSTM,5,86.826,0.608,0.754,86.23,87.67,86.65,0.836,87.806,85.608
Mish,Mish,BiLSTM+BiLSTM,5,86.818,0.597,0.741,86.15,87.56,86.544,0.778,88.348,84.84
LeakyReLU,Tanh,BiLSTM+BiLSTM,5,86.818,0.25,0.31,86.47,87.09,87.058,0.357,85.516,88.712
SiLU,ReLU,BiLSTM+BiLSTM,5,86.812,0.22,0.273,86.57,87.16,86.772,0.526,87.066,86.588
Mish,SELU,BiLSTM+BiLSTM,5,86.808,0.44,0.547,86.2,87.25,86.63,0.707,87.848,85.56
ReLU,GELU,BiLSTM+BiLSTM,5,86.806,0.301,0.373,86.39,87.13,86.546,0.518,88.29,84.924
LeakyReLU,Hardswish,BiLSTM+BiLSTM,5,86.804,0.666,0.827,85.76,87.44,86.894,0.397,86.408,87.452
Hardswish,Hardswish,BiLSTM+BiLSTM,5,86.804,0.549,0.682,86.02,87.4,86.662,0.742,87.594,85.796
Tanh,SELU,BiLSTM+BiLSTM,5,86.792,0.788,0.978,85.44,87.32,86.604,1.131,87.782,85.536
ReLU,SELU,BiLSTM+BiLSTM,5,86.792,0.212,0.264,86.56,87.08,86.742,0.654,87.1,86.552
Hardswish,SELU,BiLSTM+BiLSTM,5,86.79,0.515,0.64,86.33,87.58,86.62,0.664,87.734,85.552
Mish,Tanh,BiLSTM+BiLSTM,5,86.788,0.717,0.89,85.64,87.55,86.48,1.06,88.478,84.656
LeakyReLU,GELU,BiLSTM+BiLSTM,5,86.784,0.391,0.485,86.46,87.34,86.762,0.548,86.944,86.672
Hardswish,LeakyReLU,BiLSTM+BiLSTM,5,86.78,0.863,1.072,85.3,87.41,86.748,0.659,87.118,86.536
LeakyReLU,LeakyReLU,BiLSTM+BiLSTM,5,86.776,0.38,0.472,86.42,87.37,86.726,0.63,87.07,86.48
ELU,PReLU,BiLSTM+BiLSTM,5,86.768,0.452,0.561,86.37,87.53,86.772,0.537,86.742,86.832
GELU,SELU,BiLSTM+BiLSTM,5,86.766,0.769,0.955,85.48,87.5,86.828,1.084,86.368,87.368
GELU,SiLU,BiLSTM+BiLSTM,5,86.764,0.234,0.291,86.46,87.04,86.612,0.421,87.642,85.668
ReLU,LeakyReLU,BiLSTM+BiLSTM,5,86.744,0.308,0.383,86.4,87.17,86.798,0.306,86.466,87.156
ELU,SELU,BiLSTM+BiLSTM,5,86.742,0.483,0.6,85.95,87.09,86.596,0.739,87.564,85.74
Tanh,ELU,BiLSTM+BiLSTM,5,86.742,0.64,0.794,85.88,87.54,86.688,0.508,87.136,86.312
SiLU,Mish,BiLSTM+BiLSTM,5,86.738,0.509,0.632,86.16,87.48,86.588,0.856,87.57,85.772
SELU,PReLU,BiLSTM+BiLSTM,5,86.72,0.448,0.556,86.13,87.17,86.636,0.738,87.188,86.184
ELU,GELU,BiLSTM+BiLSTM,5,86.718,0.651,0.808,85.75,87.38,86.758,0.783,86.464,87.092
PReLU,GELU,BiLSTM+BiLSTM,5,86.716,0.412,0.512,86.15,87.19,86.5,0.447,87.928,85.136
SiLU,Hardswish,BiLSTM+BiLSTM,5,86.71,0.428,0.531,86.21,87.21,86.538,0.776,87.662,85.564
SiLU,GELU,BiLSTM+BiLSTM,5,86.706,0.561,0.696,85.86,87.33,86.726,0.559,86.61,86.872
ELU,ELU,BiLSTM+BiLSTM,5,86.702,0.446,0.554,86.34,87.36,86.826,0.512,86.036,87.684
SiLU,SELU,BiLSTM+BiLSTM,5,86.696,0.441,0.548,86.29,87.23,86.606,0.681,87.182,86.108
Hardswish,Mish,BiLSTM+BiLSTM,5,86.69,0.425,0.528,86.2,87.33,86.556,0.465,87.442,85.716
SELU,ELU,BiLSTM+BiLSTM,5,86.676,0.51,0.633,85.78,87.05,86.474,0.603,87.806,85.22
SELU,ReLU,BiLSTM+BiLSTM,5,86.676,0.182,0.226,86.58,87.0,86.662,0.326,86.81,86.604
Tanh,PReLU,BiLSTM+BiLSTM,5,86.666,0.317,0.393,86.25,87.06,86.848,0.52,85.73,88.116
PReLU,PReLU,BiLSTM+BiLSTM,5,86.662,0.469,0.582,86.06,87.11,86.484,0.758,87.642,85.448
Tanh,SiLU,BiLSTM+BiLSTM,5,86.66,1.05,1.304,84.84,87.52,86.356,1.484,88.268,84.68
Hardswish,ELU,BiLSTM+BiLSTM,5,86.656,0.497,0.618,86.32,87.53,86.63,0.603,86.838,86.512
Tanh,Hardswish,BiLSTM+BiLSTM,5,86.656,0.502,0.624,86.2,87.5,86.516,0.545,87.46,85.616
SiLU,LeakyReLU,BiLSTM+BiLSTM,5,86.656,0.5,0.621,86.18,87.26,86.446,0.796,87.806,85.212
Mish,LeakyReLU,BiLSTM+BiLSTM,5,86.652,0.516,0.641,85.79,87.14,86.73,0.944,86.224,87.412
SELU,Tanh,BiLSTM+BiLSTM,5,86.64,0.788,0.979,85.47,87.55,86.59,1.069,86.912,86.42
Tanh,Mish,BiLSTM+BiLSTM,5,86.624,0.295,0.367,86.23,86.97,86.23,0.425,88.84,83.792
ELU,SiLU,BiLSTM+BiLSTM,5,86.62,0.625,0.776,86.17,87.66,86.532,0.542,87.16,85.936
SiLU,SiLU,BiLSTM+BiLSTM,5,86.614,0.809,1.004,85.29,87.51,86.484,0.759,87.422,85.66
Hardswish,SiLU,BiLSTM+BiLSTM,5,86.59,0.499,0.62,85.88,87.07,86.508,0.87,87.006,86.12
ReLU,Mish,BiLSTM+BiLSTM,5,86.588,0.444,0.551,85.95,87.15,86.708,0.498,85.982,87.52
PReLU,SELU,BiLSTM+BiLSTM,5,86.582,0.47,0.584,85.97,87.19,86.556,0.719,86.696,86.468
Mish,PReLU,BiLSTM+BiLSTM,5,86.576,0.27,0.335,86.34,87.0,86.558,0.498,86.668,86.496
LeakyReLU,SiLU,BiLSTM+BiLSTM,5,86.562,0.64,0.795,85.79,87.47,86.506,0.764,86.856,86.208
Tanh,ReLU,BiLSTM+BiLSTM,5,86.56,0.337,0.419,86.16,87.09,86.548,0.495,86.676,86.512
ELU,Tanh,BiLSTM+BiLSTM,5,86.552,0.537,0.667,86.14,87.48,86.314,0.833,87.856,84.928
ELU,LeakyReLU,BiLSTM+BiLSTM,5,86.548,0.502,0.624,85.65,86.79,86.404,0.728,87.318,85.568
ReLU,PReLU,BiLSTM+BiLSTM,5,86.484,0.575,0.714,85.53,86.92,86.276,1.015,87.594,85.144
SELU,GELU,BiLSTM+BiLSTM,5,86.462,0.369,0.459,85.9,86.86,86.344,0.513,87.122,85.64
Tanh,GELU,BiLSTM+BiLSTM,5,86.454,0.76,0.943,85.16,87.12,86.43,0.797,86.59,86.284
GELU,PReLU,BiLSTM+BiLSTM,5,86.416,0.852,1.058,85.37,87.31,86.386,1.108,86.62,86.368
GELU,Tanh,BiLSTM+BiLSTM,5,86.416,0.76,0.943,85.37,87.27,86.362,0.807,86.77,86.076
SiLU,PReLU,BiLSTM+BiLSTM,5,86.396,0.734,0.911,85.37,87.28,86.194,1.062,87.454,85.1
Hardswish,PReLU,BiLSTM+BiLSTM,5,86.386,0.278,0.346,86.02,86.67,86.132,0.574,87.766,84.628
PReLU,Hardswish,BiLSTM+BiLSTM,5,86.366,0.73,0.906,85.07,86.78,86.08,1.047,87.918,84.46
SELU,SELU,BiLSTM+BiLSTM,5,86.358,0.722,0.897,85.52,87.14,86.47,0.781,85.838,87.26
Tanh,Tanh,BiLSTM+BiLSTM,5,86.334,0.849,1.055,85.62,87.44,85.762,1.252,89.406,82.52
GELU,Hardswish,BiLSTM+BiLSTM,5,86.132,0.828,1.028,85.23,87.21,86.114,0.9,86.22,86.036
LeakyReLU,SELU,BiLSTM+BiLSTM,5,86.066,0.926,1.15,85.06,87.43,86.11,1.2,85.894,86.56
