Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiLSTM+BiLSTM
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiLSTM+BiLSTM_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 40]   1/100       ReLU+ReLU      acc= 87.15  ETA 105.5m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 10]   1/100       ReLU+ReLU      acc= 87.41  ETA 105.4m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 50]   1/100       ReLU+ReLU      acc= 86.91  ETA 105.5m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 30]   1/100       ReLU+ReLU      acc= 86.89  ETA 105.7m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 20]   1/100       ReLU+ReLU      acc= 86.85  ETA 131.1m
[seed 10]   2/100       ReLU+ELU       acc= 86.81  ETA 103.4m
[seed 50]   2/100       ReLU+ELU       acc= 86.92  ETA 103.4m
[seed 30]   2/100       ReLU+ELU       acc= 86.71  ETA 103.6m
[seed 40]   2/100       ReLU+ELU       acc= 87.45  ETA 109.6m
[seed 20]   2/100       ReLU+ELU       acc= 87.22  ETA 115.9m
[seed 50]   3/100       ReLU+LeakyReLU acc= 86.54  ETA  97.7m
[seed 10]   3/100       ReLU+LeakyReLU acc= 86.68  ETA 101.8m
[seed 30]   3/100       ReLU+LeakyReLU acc= 86.93  ETA 101.9m
[seed 40]   3/100       ReLU+LeakyReLU acc= 86.40  ETA 105.8m
[seed 20]   3/100       ReLU+LeakyReLU acc= 87.17  ETA 110.0m
[seed 50]   4/100       ReLU+Tanh      acc= 86.12  ETA  97.4m
[seed 30]   4/100       ReLU+Tanh      acc= 86.72  ETA 100.6m
[seed 10]   4/100       ReLU+Tanh      acc= 87.82  ETA 103.6m
[seed 40]   4/100       ReLU+Tanh      acc= 87.26  ETA 106.5m
[seed 20]   4/100       ReLU+Tanh      acc= 87.10  ETA 106.6m
[seed 50]   5/100       ReLU+GELU      acc= 86.81  ETA  99.3m
[seed 10]   5/100       ReLU+GELU      acc= 86.65  ETA  99.3m
[seed 30]   5/100       ReLU+GELU      acc= 87.05  ETA  99.4m
[seed 20]   5/100       ReLU+GELU      acc= 86.39  ETA 104.1m
[seed 40]   5/100       ReLU+GELU      acc= 87.13  ETA 106.5m
[seed 50]   6/100       ReLU+SiLU      acc= 86.21  ETA  96.2m
[seed 10]   6/100       ReLU+SiLU      acc= 87.18  ETA  96.2m
[seed 30]   6/100       ReLU+SiLU      acc= 85.98  ETA  98.2m
[seed 40]   6/100       ReLU+SiLU      acc= 87.26  ETA 102.0m
[seed 20]   6/100       ReLU+SiLU      acc= 87.66  ETA 104.1m
[seed 10]   7/100       ReLU+Mish      acc= 87.15  ETA  94.1m
[seed 50]   7/100       ReLU+Mish      acc= 86.81  ETA  95.8m
