act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,ReLU,BiLSTM+BiLSTM,20,86.85,87.81,85.58,86.68,7,10
ReLU,ELU,BiLSTM+BiLSTM,20,87.22,85.69,89.36,87.49,5,8
ReLU,LeakyReLU,BiLSTM+BiLSTM,20,87.17,86.65,87.88,87.26,5,8
ReLU,Tanh,BiLSTM+BiLSTM,20,87.1,87.67,86.34,87.0,5,8
ReLU,GELU,BiLSTM+BiLSTM,20,86.39,90.46,81.36,85.67,5,8
ReLU,SiLU,BiLSTM+BiLSTM,20,87.66,87.44,87.96,87.7,6,9
ReLU,Mish,BiLSTM+BiLSTM,20,85.95,83.52,89.58,86.44,3,6
ReLU,SELU,BiLSTM+BiLSTM,20,86.91,84.62,90.22,87.33,7,10
ReLU,PReLU,BiLSTM+BiLSTM,20,86.38,86.72,85.92,86.32,3,6
ReLU,Hardswish,BiLSTM+BiLSTM,20,87.53,89.04,85.6,87.28,5,8
ELU,ReLU,BiLSTM+BiLSTM,20,87.51,86.26,89.24,87.72,6,9
ELU,ELU,BiLSTM+BiLSTM,20,86.97,85.19,89.5,87.29,4,7
ELU,LeakyReLU,BiLSTM+BiLSTM,20,86.76,87.51,85.76,86.63,5,8
ELU,Tanh,BiLSTM+BiLSTM,20,87.48,85.97,89.58,87.74,5,8
ELU,GELU,BiLSTM+BiLSTM,20,86.41,85.83,87.22,86.52,7,10
ELU,SiLU,BiLSTM+BiLSTM,20,87.66,88.92,86.04,87.46,6,9
ELU,Mish,BiLSTM+BiLSTM,20,87.06,87.62,86.32,86.96,7,10
ELU,SELU,BiLSTM+BiLSTM,20,86.99,87.88,85.82,86.84,7,10
ELU,PReLU,BiLSTM+BiLSTM,20,86.72,87.59,85.56,86.56,7,10
ELU,Hardswish,BiLSTM+BiLSTM,20,86.69,87.77,85.26,86.5,5,8
LeakyReLU,ReLU,BiLSTM+BiLSTM,20,87.63,87.1,88.34,87.72,7,10
LeakyReLU,ELU,BiLSTM+BiLSTM,20,87.52,86.44,89.0,87.7,5,8
LeakyReLU,LeakyReLU,BiLSTM+BiLSTM,20,86.9,84.96,89.68,87.25,4,7
LeakyReLU,Tanh,BiLSTM+BiLSTM,20,87.09,85.52,89.3,87.37,5,8
LeakyReLU,GELU,BiLSTM+BiLSTM,20,87.34,86.39,88.64,87.5,5,8
LeakyReLU,SiLU,BiLSTM+BiLSTM,20,86.45,87.45,85.12,86.27,5,8
LeakyReLU,Mish,BiLSTM+BiLSTM,20,87.07,89.49,84.0,86.66,5,8
LeakyReLU,SELU,BiLSTM+BiLSTM,20,87.43,85.79,89.72,87.71,4,7
LeakyReLU,PReLU,BiLSTM+BiLSTM,20,87.17,85.07,90.16,87.54,7,10
LeakyReLU,Hardswish,BiLSTM+BiLSTM,20,86.97,86.11,88.16,87.12,5,8
Tanh,ReLU,BiLSTM+BiLSTM,20,86.5,87.06,85.74,86.4,7,10
Tanh,ELU,BiLSTM+BiLSTM,20,87.54,88.61,86.16,87.37,5,8
Tanh,LeakyReLU,BiLSTM+BiLSTM,20,86.87,87.4,86.16,86.78,5,8
Tanh,Tanh,BiLSTM+BiLSTM,20,87.06,89.48,84.0,86.65,6,9
Tanh,GELU,BiLSTM+BiLSTM,20,87.12,86.28,88.28,87.27,6,9
Tanh,SiLU,BiLSTM+BiLSTM,20,87.14,87.99,86.02,86.99,6,9
Tanh,Mish,BiLSTM+BiLSTM,20,86.55,88.37,84.18,86.22,7,10
Tanh,SELU,BiLSTM+BiLSTM,20,86.75,86.73,86.78,86.75,7,10
Tanh,PReLU,BiLSTM+BiLSTM,20,86.48,86.66,86.24,86.45,7,10
Tanh,Hardswish,BiLSTM+BiLSTM,20,86.67,86.56,86.82,86.69,7,10
GELU,ReLU,BiLSTM+BiLSTM,20,87.77,87.78,87.76,87.77,6,9
GELU,ELU,BiLSTM+BiLSTM,20,87.4,88.41,86.08,87.23,6,9
GELU,LeakyReLU,BiLSTM+BiLSTM,20,86.84,86.16,87.78,86.96,7,10
GELU,Tanh,BiLSTM+BiLSTM,20,87.03,85.89,88.62,87.23,5,8
GELU,GELU,BiLSTM+BiLSTM,20,87.21,86.92,87.6,87.26,6,9
