act1,act2,experiment,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean,single,delta,cell,rank_old,rank_new
Hardswish,SiLU,BiLSTM+LSTM,5,87.164,0.492,0.61,86.4,87.65,87.1,0.775,87.578,86.816,86.75,0.4140000000000015,Hardswish+SiLU,52.0,1.0
ReLU,GELU,BiLSTM+LSTM,5,87.15,0.401,0.498,86.68,87.69,87.278,0.41,86.436,88.164,86.52,0.6300000000000097,ReLU+GELU,71.5,2.0
LeakyReLU,GELU,BiLSTM+LSTM,5,87.108,0.48,0.596,86.26,87.39,87.27,0.339,86.23,88.372,87.17,-0.06199999999999761,LeakyReLU+GELU,16.5,3.0
LeakyReLU,ReLU,BiLSTM+LSTM,5,87.07,0.622,0.773,86.43,87.88,86.98,0.576,87.61,86.392,87.03,0.03999999999999204,LeakyReLU+ReLU,26.0,4.0
PReLU,Hardswish,BiLSTM+LSTM,5,87.062,0.231,0.287,86.86,87.44,87.024,0.287,87.266,86.808,86.78,0.2819999999999965,PReLU+Hardswish,50.0,5.0
ReLU,ReLU,BiLSTM+LSTM,5,87.06,0.457,0.568,86.5,87.55,87.06,0.561,87.076,87.092,86.59,0.46999999999999886,ReLU+ReLU,64.0,6.0
PReLU,SELU,BiLSTM+LSTM,5,87.046,0.251,0.312,86.8,87.44,87.122,0.543,86.664,87.736,86.86,0.18600000000000705,PReLU+SELU,41.0,7.0
ELU,Mish,BiLSTM+LSTM,5,87.044,0.297,0.369,86.69,87.37,87.232,0.259,85.978,88.528,86.81,0.23399999999999466,ELU+Mish,47.0,8.0
ReLU,Tanh,BiLSTM+LSTM,5,87.024,0.398,0.494,86.64,87.54,87.194,0.335,86.076,88.36,85.56,1.4639999999999986,ReLU+Tanh,97.0,9.0
GELU,ELU,BiLSTM+LSTM,5,87.014,0.5,0.621,86.43,87.65,86.982,0.743,87.162,86.852,86.84,0.17399999999999238,GELU+ELU,42.5,10.0
SiLU,Tanh,BiLSTM+LSTM,5,86.984,0.465,0.578,86.23,87.41,87.092,0.544,86.388,87.848,86.97,0.013999999999995794,SiLU+Tanh,31.0,11.0
Tanh,SiLU,BiLSTM+LSTM,5,86.974,0.537,0.667,86.17,87.5,86.912,0.806,87.272,86.616,86.06,0.9140000000000015,Tanh+SiLU,90.0,12.0
LeakyReLU,Mish,BiLSTM+LSTM,5,86.936,0.55,0.683,86.22,87.74,87.058,0.606,86.238,87.912,87.32,-0.38399999999998613,LeakyReLU+Mish,9.0,13.0
GELU,Hardswish,BiLSTM+LSTM,5,86.932,0.249,0.309,86.61,87.29,86.812,0.255,87.63,86.016,86.43,0.5019999999999953,GELU+Hardswish,77.5,14.0
ELU,Tanh,BiLSTM+LSTM,5,86.93,0.457,0.568,86.55,87.72,87.008,0.539,86.496,87.536,84.95,1.980000000000004,ELU+Tanh,98.0,15.0
SiLU,SiLU,BiLSTM+LSTM,5,86.926,0.187,0.233,86.63,87.13,86.904,0.324,87.062,86.788,87.17,-0.24399999999999977,SiLU+SiLU,16.5,16.0
ELU,Hardswish,BiLSTM+LSTM,5,86.91,0.551,0.684,86.41,87.81,86.962,0.759,86.622,87.396,85.57,1.3400000000000034,ELU+Hardswish,96.0,17.0
LeakyReLU,ELU,BiLSTM+LSTM,5,86.908,0.341,0.423,86.53,87.41,86.984,0.418,86.514,87.496,86.69,0.21800000000000352,LeakyReLU+ELU,56.0,18.0
PReLU,ReLU,BiLSTM+LSTM,5,86.902,0.447,0.555,86.19,87.38,86.958,0.555,86.582,87.376,86.63,0.27200000000000557,PReLU+ReLU,61.0,19.0
Hardswish,Mish,BiLSTM+LSTM,5,86.898,0.362,0.449,86.38,87.3,87.014,0.378,86.25,87.82,87.61,-0.7120000000000033,Hardswish+Mish,2.0,20.0
LeakyReLU,LeakyReLU,BiLSTM+LSTM,5,86.892,0.567,0.704,86.23,87.57,86.856,0.778,87.068,86.688,86.34,0.5519999999999925,LeakyReLU+LeakyReLU,80.0,21.0
LeakyReLU,PReLU,BiLSTM+LSTM,5,86.874,0.348,0.433,86.48,87.35,87.016,0.425,86.09,88.016,86.04,0.833999999999989,LeakyReLU+PReLU,91.0,22.0
ELU,ReLU,BiLSTM+LSTM,5,86.86,0.821,1.02,85.45,87.55,87.002,0.796,86.084,87.944,87.08,-0.21999999999999886,ELU+ReLU,24.5,23.5
Tanh,PReLU,BiLSTM+LSTM,5,86.86,0.34,0.422,86.47,87.3,86.972,0.41,86.268,87.748,86.43,0.4299999999999926,Tanh+PReLU,77.5,23.5
SiLU,LeakyReLU,BiLSTM+LSTM,5,86.854,0.469,0.582,86.25,87.46,86.814,0.653,87.062,86.624,86.15,0.7039999999999935,SiLU+LeakyReLU,87.0,25.0
GELU,SiLU,BiLSTM+LSTM,5,86.824,0.239,0.296,86.53,87.03,86.622,0.127,88.032,85.32,86.56,0.2639999999999958,GELU+SiLU,67.5,26.0
SELU,Mish,BiLSTM+LSTM,5,86.81,0.69,0.857,85.86,87.59,86.838,0.688,86.652,87.04,86.55,0.2600000000000051,SELU+Mish,69.5,27.5
SiLU,ReLU,BiLSTM+LSTM,5,86.81,0.26,0.323,86.58,87.21,86.98,0.232,85.934,88.132,87.16,-0.3499999999999943,SiLU+ReLU,19.0,27.5
SiLU,Hardswish,BiLSTM+LSTM,5,86.808,0.551,0.684,86.0,87.46,86.894,0.665,86.368,87.528,86.33,0.47800000000000864,SiLU+Hardswish,81.0,29.0
ReLU,Hardswish,BiLSTM+LSTM,5,86.8,0.272,0.338,86.41,87.13,86.838,0.496,86.602,87.148,86.8,0.0,ReLU+Hardswish,48.0,30.0
ReLU,SiLU,BiLSTM+LSTM,5,86.792,0.369,0.458,86.21,87.16,86.79,0.43,86.798,86.796,86.28,0.5120000000000005,ReLU+SiLU,83.0,31.0
ELU,ELU,BiLSTM+LSTM,5,86.768,0.511,0.635,86.09,87.36,86.842,0.543,86.42,87.38,86.49,0.2780000000000058,ELU+ELU,74.0,32.5
ReLU,LeakyReLU,BiLSTM+LSTM,5,86.768,0.254,0.315,86.45,87.03,86.684,0.321,87.254,86.168,87.56,-0.7920000000000016,ReLU+LeakyReLU,3.0,32.5
ReLU,ELU,BiLSTM+LSTM,5,86.764,0.502,0.623,86.09,87.4,86.812,0.837,86.468,87.252,86.9,-0.1360000000000099,ReLU+ELU,38.5,34.0
ReLU,PReLU,BiLSTM+LSTM,5,86.762,0.422,0.524,86.23,87.27,86.754,0.477,86.804,86.712,84.9,1.8619999999999948,ReLU+PReLU,99.0,35.0
LeakyReLU,SiLU,BiLSTM+LSTM,5,86.758,0.541,0.672,86.17,87.54,86.778,0.68,86.62,86.972,86.55,0.2079999999999984,LeakyReLU+SiLU,69.5,36.0
Hardswish,ELU,BiLSTM+LSTM,5,86.756,0.45,0.559,86.19,87.23,86.696,0.679,87.11,86.412,86.62,0.13599999999999568,Hardswish+ELU,62.0,37.0
GELU,Tanh,BiLSTM+LSTM,5,86.752,0.554,0.688,86.14,87.46,86.946,0.489,85.724,88.244,86.47,0.2819999999999965,GELU+Tanh,75.0,38.0
GELU,GELU,BiLSTM+LSTM,5,86.722,0.682,0.847,85.83,87.41,86.598,1.072,87.332,85.996,86.65,0.07199999999998852,GELU+GELU,60.0,39.5
PReLU,PReLU,BiLSTM+LSTM,5,86.722,0.591,0.734,85.8,87.37,86.704,0.991,86.774,86.756,86.82,-0.09799999999999898,PReLU+PReLU,45.0,39.5
SiLU,GELU,BiLSTM+LSTM,5,86.714,0.192,0.238,86.39,86.86,86.812,0.537,86.218,87.544,86.56,0.15399999999999636,SiLU+GELU,67.5,41.0
SiLU,SELU,BiLSTM+LSTM,5,86.7,0.482,0.599,86.0,87.26,86.796,0.554,86.196,87.444,86.42,0.28000000000000114,SiLU+SELU,79.0,42.0
PReLU,LeakyReLU,BiLSTM+LSTM,5,86.696,0.449,0.558,86.13,87.36,86.706,0.402,86.668,86.796,86.82,-0.12399999999999523,PReLU+LeakyReLU,45.0,43.0
Mish,LeakyReLU,BiLSTM+LSTM,5,86.686,0.287,0.356,86.28,87.06,86.568,0.45,87.378,85.836,86.3,0.3860000000000099,Mish+LeakyReLU,82.0,44.0
Tanh,Mish,BiLSTM+LSTM,5,86.68,0.539,0.669,86.07,87.41,86.65,0.593,86.85,86.464,86.67,0.010000000000005116,Tanh+Mish,59.0,45.0
PReLU,SiLU,BiLSTM+LSTM,5,86.678,0.816,1.014,85.41,87.47,86.532,1.048,87.44,85.696,86.84,-0.16200000000000614,PReLU+SiLU,42.5,46.0
ELU,SELU,BiLSTM+LSTM,5,86.674,0.538,0.668,85.73,87.04,86.578,0.38,87.274,85.936,86.68,-0.006000000000000227,ELU+SELU,57.5,47.0
ELU,GELU,BiLSTM+LSTM,5,86.672,0.564,0.7,85.9,87.25,86.704,0.662,86.486,86.952,87.37,-0.6980000000000075,ELU+GELU,8.0,49.0
SiLU,Mish,BiLSTM+LSTM,5,86.672,0.597,0.741,86.07,87.38,86.456,1.033,87.838,85.3,87.45,-0.7780000000000058,SiLU+Mish,7.0,49.0
Mish,GELU,BiLSTM+LSTM,5,86.672,0.332,0.413,86.18,87.1,86.76,0.438,86.226,87.368,86.45,0.2219999999999942,Mish+GELU,76.0,49.0
Tanh,LeakyReLU,BiLSTM+LSTM,5,86.66,0.624,0.774,85.87,87.44,86.728,0.617,86.284,87.184,87.1,-0.4399999999999977,Tanh+LeakyReLU,23.0,51.0
Tanh,Tanh,BiLSTM+LSTM,5,86.648,0.979,1.216,85.36,87.65,86.56,1.203,87.07,86.104,87.46,-0.8119999999999976,Tanh+Tanh,5.5,52.0
Mish,Tanh,BiLSTM+LSTM,5,86.646,0.691,0.859,85.53,87.41,86.78,0.633,85.984,87.64,86.93,-0.284000000000006,Mish+Tanh,35.0,53.0
SELU,GELU,BiLSTM+LSTM,5,86.644,0.647,0.804,85.64,87.35,86.622,0.696,86.762,86.5,86.08,0.5640000000000072,SELU+GELU,89.0,54.0
Mish,Mish,BiLSTM+LSTM,5,86.642,0.357,0.443,86.17,87.12,86.682,0.76,86.494,87.116,87.16,-0.5180000000000007,Mish+Mish,19.0,55.0
Mish,Hardswish,BiLSTM+LSTM,5,86.638,0.758,0.941,85.65,87.61,86.66,0.902,86.504,86.876,86.91,-0.27199999999999136,Mish+Hardswish,37.0,56.5
Hardswish,SELU,BiLSTM+LSTM,5,86.638,0.408,0.507,86.17,87.2,86.528,0.588,87.266,85.856,87.29,-0.652000000000001,Hardswish+SELU,11.0,56.5
