act1,act2,experiment,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean
Hardswish,SiLU,BiLSTM+LSTM,5,87.164,0.492,0.61,86.4,87.65,87.1,0.775,87.578,86.816
ReLU,GELU,BiLSTM+LSTM,5,87.15,0.401,0.498,86.68,87.69,87.278,0.41,86.436,88.164
LeakyReLU,GELU,BiLSTM+LSTM,5,87.108,0.48,0.596,86.26,87.39,87.27,0.339,86.23,88.372
LeakyReLU,ReLU,BiLSTM+LSTM,5,87.07,0.622,0.773,86.43,87.88,86.98,0.576,87.61,86.392
PReLU,Hardswish,BiLSTM+LSTM,5,87.062,0.231,0.287,86.86,87.44,87.024,0.287,87.266,86.808
ReLU,ReLU,BiLSTM+LSTM,5,87.06,0.457,0.568,86.5,87.55,87.06,0.561,87.076,87.092
PReLU,SELU,BiLSTM+LSTM,5,87.046,0.251,0.312,86.8,87.44,87.122,0.543,86.664,87.736
ELU,Mish,BiLSTM+LSTM,5,87.044,0.297,0.369,86.69,87.37,87.232,0.259,85.978,88.528
ReLU,Tanh,BiLSTM+LSTM,5,87.024,0.398,0.494,86.64,87.54,87.194,0.335,86.076,88.36
GELU,ELU,BiLSTM+LSTM,5,87.014,0.5,0.621,86.43,87.65,86.982,0.743,87.162,86.852
SiLU,Tanh,BiLSTM+LSTM,5,86.984,0.465,0.578,86.23,87.41,87.092,0.544,86.388,87.848
Tanh,SiLU,BiLSTM+LSTM,5,86.974,0.537,0.667,86.17,87.5,86.912,0.806,87.272,86.616
LeakyReLU,Mish,BiLSTM+LSTM,5,86.936,0.55,0.683,86.22,87.74,87.058,0.606,86.238,87.912
GELU,Hardswish,BiLSTM+LSTM,5,86.932,0.249,0.309,86.61,87.29,86.812,0.255,87.63,86.016
ELU,Tanh,BiLSTM+LSTM,5,86.93,0.457,0.568,86.55,87.72,87.008,0.539,86.496,87.536
SiLU,SiLU,BiLSTM+LSTM,5,86.926,0.187,0.233,86.63,87.13,86.904,0.324,87.062,86.788
ELU,Hardswish,BiLSTM+LSTM,5,86.91,0.551,0.684,86.41,87.81,86.962,0.759,86.622,87.396
LeakyReLU,ELU,BiLSTM+LSTM,5,86.908,0.341,0.423,86.53,87.41,86.984,0.418,86.514,87.496
PReLU,ReLU,BiLSTM+LSTM,5,86.902,0.447,0.555,86.19,87.38,86.958,0.555,86.582,87.376
Hardswish,Mish,BiLSTM+LSTM,5,86.898,0.362,0.449,86.38,87.3,87.014,0.378,86.25,87.82
LeakyReLU,LeakyReLU,BiLSTM+LSTM,5,86.892,0.567,0.704,86.23,87.57,86.856,0.778,87.068,86.688
LeakyReLU,PReLU,BiLSTM+LSTM,5,86.874,0.348,0.433,86.48,87.35,87.016,0.425,86.09,88.016
ELU,ReLU,BiLSTM+LSTM,5,86.86,0.821,1.02,85.45,87.55,87.002,0.796,86.084,87.944
Tanh,PReLU,BiLSTM+LSTM,5,86.86,0.34,0.422,86.47,87.3,86.972,0.41,86.268,87.748
SiLU,LeakyReLU,BiLSTM+LSTM,5,86.854,0.469,0.582,86.25,87.46,86.814,0.653,87.062,86.624
GELU,SiLU,BiLSTM+LSTM,5,86.824,0.239,0.296,86.53,87.03,86.622,0.127,88.032,85.32
SELU,Mish,BiLSTM+LSTM,5,86.81,0.69,0.857,85.86,87.59,86.838,0.688,86.652,87.04
