Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiLSTM+LSTM
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiLSTM+LSTM_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 50]   1/100       ReLU+ReLU      acc= 87.51  ETA 109.9m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 40]   1/100       ReLU+ReLU      acc= 87.55  ETA 121.7m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 30]   1/100       ReLU+ReLU      acc= 86.50  ETA 121.7m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 20]   1/100       ReLU+ReLU      acc= 86.81  ETA 121.7m
Device : cuda
GPU    : NVIDIA GeForce RTX 5080
[seed 10]   1/72  LeakyReLU+PReLU     acc= 87.07  ETA  87.3m
[seed 50]   2/100       ReLU+ELU       acc= 86.99  ETA 107.4m
[seed 40]   2/100       ReLU+ELU       acc= 87.40  ETA 113.2m
[seed 10]   2/72  LeakyReLU+Hardswish acc= 87.06  ETA  81.0m
[seed 30]   2/100       ReLU+ELU       acc= 86.47  ETA 119.1m
[seed 20]   2/100       ReLU+ELU       acc= 86.87  ETA 119.1m
[seed 50]   3/100       ReLU+LeakyReLU acc= 86.45  ETA 109.5m
[seed 30]   3/100       ReLU+LeakyReLU acc= 87.03  ETA 109.6m
[seed 40]   3/100       ReLU+LeakyReLU acc= 86.55  ETA 113.3m
[seed 10]   3/72       Tanh+ReLU      acc= 86.39  ETA  80.8m
[seed 20]   3/100       ReLU+LeakyReLU acc= 86.87  ETA 117.3m
[seed 50]   4/100       ReLU+Tanh      acc= 87.35  ETA 107.1m
[seed 30]   4/100       ReLU+Tanh      acc= 86.86  ETA 110.2m
[seed 40]   4/100       ReLU+Tanh      acc= 87.54  ETA 112.9m
[seed 10]   4/72       Tanh+ELU       acc= 86.25  ETA  80.1m
[seed 20]   4/100       ReLU+Tanh      acc= 86.64  ETA 115.9m
[seed 50]   5/100       ReLU+GELU      acc= 87.18  ETA 105.3m
[seed 30]   5/100       ReLU+GELU      acc= 86.85  ETA 109.9m
[seed 40]   5/100       ReLU+GELU      acc= 87.69  ETA 112.0m
[seed 10]   5/72       Tanh+LeakyReLU acc= 85.87  ETA  79.2m
[seed 20]   5/100       ReLU+GELU      acc= 86.68  ETA 114.5m
[seed 50]   6/100       ReLU+SiLU      acc= 86.70  ETA 105.6m
[seed 30]   6/100       ReLU+SiLU      acc= 87.03  ETA 107.6m
[seed 40]   6/100       ReLU+SiLU      acc= 87.16  ETA 111.2m
[seed 10]   6/72       Tanh+Tanh      acc= 87.19  ETA  78.2m
[seed 20]   6/100       ReLU+SiLU      acc= 86.21  ETA 113.3m
[seed 50]   7/100       ReLU+Mish      acc= 86.79  ETA 104.0m
[seed 30]   7/100       ReLU+Mish      acc= 86.08  ETA 107.3m
