cell,rank_within_10,amazon_accuracy,amazon_sd_20runs,seeds_escaped_of_20,imdb_accuracy,imdb_rank_within_10,rank_shift,accuracy_delta
ReLU+Tanh,1,78.7275,18.0632,14,87.286,3,2,-8.5585
GELU+ELU,2,78.1885,18.6757,14,87.261,5,3,-9.0725
ReLU+Hardswish,3,76.654,18.459,13,87.2345,10,7,-10.5805
PReLU+SiLU,4,76.314,19.5392,13,87.239,9,5,-10.925
LeakyReLU+Mish,5,76.1565,19.6886,13,87.254,6,1,-11.0975
ReLU+GELU,6,74.192,20.2631,12,87.305,1,-5,-13.113
PReLU+ReLU,7,72.6445,20.0102,11,87.251,7,0,-14.6065
ReLU+ReLU,8,72.1375,20.4751,11,87.287,2,-6,-15.1495
LeakyReLU+GELU,9,71.6115,20.1282,10,87.2635,4,-5,-15.652
LeakyReLU+ReLU,10,70.4215,20.6217,10,87.2395,8,-2,-16.818
