act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,GELU,BiLSTM+LSTM,30,50.0,0.0,0.0,0.0,8,10
ReLU,ReLU,BiLSTM+LSTM,30,50.0,0.0,0.0,0.0,2,5
ReLU,Tanh,BiLSTM+LSTM,30,50.0,0.0,0.0,0.0,6,9
LeakyReLU,GELU,BiLSTM+LSTM,30,51.33,60.34,7.76,13.75,6,9
GELU,ELU,BiLSTM+LSTM,30,88.3,85.82,91.76,88.69,10,10
LeakyReLU,Mish,BiLSTM+LSTM,30,50.01,100.0,0.02,0.04,9,10
PReLU,ReLU,BiLSTM+LSTM,30,50.0,0.0,0.0,0.0,2,5
LeakyReLU,ReLU,BiLSTM+LSTM,30,49.98,37.5,0.06,0.12,2,5
PReLU,SiLU,BiLSTM+LSTM,30,50.04,83.33,0.1,0.2,5,8
ReLU,Hardswish,BiLSTM+LSTM,30,83.03,79.17,89.64,84.08,10,10
ReLU,GELU,BiGRU+GRU,30,50.02,50.01,99.86,66.64,3,6
ReLU,ReLU,BiGRU+GRU,30,50.0,50.0,0.02,0.04,1,4
ReLU,Tanh,BiGRU+GRU,30,90.23,90.43,89.98,90.21,9,10
LeakyReLU,GELU,BiGRU+GRU,30,50.01,50.01,99.86,66.64,3,6
GELU,ELU,BiGRU+GRU,30,89.47,92.91,85.46,89.03,6,9
LeakyReLU,Mish,BiGRU+GRU,30,50.02,50.01,99.88,66.65,3,6
PReLU,ReLU,BiGRU+GRU,30,50.0,0.0,0.0,0.0,1,4
LeakyReLU,ReLU,BiGRU+GRU,30,49.99,0.0,0.0,0.0,1,4
PReLU,SiLU,BiGRU+GRU,30,89.21,86.31,93.2,89.62,10,10
ReLU,Hardswish,BiGRU+GRU,30,50.03,50.02,99.9,66.66,3,6
ReLU,GELU,BiLSTM+BiLSTM,30,90.09,88.07,92.74,90.35,3,6
ReLU,ReLU,BiLSTM+BiLSTM,30,90.58,89.54,91.9,90.7,4,7
ReLU,Tanh,BiLSTM+BiLSTM,30,90.25,92.24,87.9,90.02,4,7
LeakyReLU,GELU,BiLSTM+BiLSTM,30,91.04,90.43,91.8,91.11,4,7
GELU,ELU,BiLSTM+BiLSTM,30,90.82,90.9,90.72,90.81,4,7
LeakyReLU,Mish,BiLSTM+BiLSTM,30,90.63,92.53,88.4,90.42,4,7
PReLU,ReLU,BiLSTM+BiLSTM,30,90.32,93.39,86.78,89.96,4,7
LeakyReLU,ReLU,BiLSTM+BiLSTM,30,90.22,93.23,86.74,89.87,4,7
PReLU,SiLU,BiLSTM+BiLSTM,30,90.76,90.73,90.8,90.76,5,8
ReLU,Hardswish,BiLSTM+BiLSTM,30,90.46,91.95,88.68,90.29,4,7
ReLU,GELU,BiGRU+BiGRU,30,90.59,89.19,92.38,90.76,3,6
ReLU,ReLU,BiGRU+BiGRU,30,90.74,90.63,90.88,90.75,3,6
ReLU,Tanh,BiGRU+BiGRU,30,90.74,90.53,91.0,90.76,3,6
LeakyReLU,GELU,BiGRU+BiGRU,30,90.86,90.04,91.88,90.95,3,6
GELU,ELU,BiGRU+BiGRU,30,90.2,89.37,91.26,90.3,2,5
LeakyReLU,Mish,BiGRU+BiGRU,30,90.33,89.47,91.42,90.43,2,5
PReLU,ReLU,BiGRU+BiGRU,30,90.78,90.19,91.52,90.85,3,6
LeakyReLU,ReLU,BiGRU+BiGRU,30,90.68,89.66,91.96,90.8,3,6
PReLU,SiLU,BiGRU+BiGRU,30,90.75,90.37,91.22,90.79,3,6
ReLU,Hardswish,BiGRU+BiGRU,30,90.85,90.73,91.0,90.86,3,6
