architecture,act1,act2,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean,pr_gap,rank_global,rank_in_arch
BiGRU+GRU,ReLU,LeakyReLU,5,87.806,0.167,0.207,87.52,87.93,87.796,0.244,87.876,87.744,0.132,1,1
BiGRU+BiGRU,SiLU,Mish,5,87.726,0.158,0.196,87.47,87.86,87.65,0.49,88.228,87.196,1.032,2,1
BiGRU+BiGRU,Tanh,LeakyReLU,5,87.724,0.4,0.497,87.19,88.27,87.7,0.333,87.956,87.528,0.428,3,2
BiGRU+GRU,Tanh,GELU,5,87.712,0.288,0.357,87.42,88.1,87.752,0.229,87.502,88.056,0.554,4,2
BiGRU+GRU,PReLU,ReLU,5,87.712,0.175,0.218,87.48,87.87,87.666,0.217,88.016,87.356,0.66,4,2
BiGRU+BiGRU,GELU,GELU,5,87.702,0.18,0.224,87.42,87.9,87.582,0.559,88.476,86.84,1.636,6,3
BiGRU+BiGRU,SiLU,Hardswish,5,87.702,0.096,0.119,87.61,87.84,87.686,0.47,87.86,87.66,0.2,6,3
BiGRU+BiGRU,GELU,Hardswish,5,87.688,0.182,0.226,87.45,87.88,87.654,0.443,87.952,87.496,0.456,8,5
BiGRU+GRU,SiLU,GELU,5,87.682,0.18,0.223,87.43,87.86,87.63,0.415,87.996,87.324,0.672,9,4
BiGRU+GRU,PReLU,GELU,5,87.682,0.277,0.344,87.21,87.89,87.714,0.575,87.49,88.016,0.526,9,4
BiGRU+GRU,SELU,Tanh,5,87.672,0.305,0.378,87.47,88.21,87.67,0.441,87.706,87.704,0.002,11,6
BiGRU+GRU,ReLU,GELU,5,87.67,0.195,0.242,87.48,87.94,87.754,0.104,87.17,88.36,1.19,12,7
BiGRU+BiGRU,SiLU,LeakyReLU,5,87.656,0.199,0.247,87.37,87.92,87.618,0.331,87.908,87.38,0.528,13,6
BiGRU+BiGRU,LeakyReLU,SELU,5,87.654,0.114,0.141,87.54,87.84,87.556,0.332,88.278,86.908,1.37,14,7
BiGRU+GRU,PReLU,SiLU,5,87.65,0.268,0.333,87.36,88.0,87.652,0.456,87.642,87.72,0.078,15,8
BiGRU+BiGRU,SELU,ReLU,5,87.648,0.289,0.358,87.31,88.05,87.63,0.35,87.802,87.524,0.278,16,8
BiGRU+BiGRU,Hardswish,ReLU,5,87.64,0.291,0.361,87.23,88.02,87.45,0.564,88.81,86.212,2.598,17,9
BiGRU+BiGRU,Hardswish,Tanh,5,87.636,0.316,0.393,87.29,88.02,87.768,0.413,86.848,88.728,1.88,18,10
BiGRU+GRU,Tanh,LeakyReLU,5,87.63,0.305,0.379,87.13,87.87,87.776,0.26,86.834,88.844,2.01,19,9
BiGRU+GRU,Hardswish,GELU,5,87.626,0.297,0.369,87.24,87.87,87.6,0.411,87.78,87.448,0.332,20,10
BiGRU+GRU,ELU,SiLU,5,87.626,0.27,0.335,87.38,88.07,87.606,0.368,87.768,87.492,0.276,20,10
BiGRU+GRU,Hardswish,Mish,5,87.626,0.171,0.212,87.37,87.81,87.658,0.315,87.42,87.928,0.508,20,10
BiGRU+GRU,SiLU,ELU,5,87.626,0.332,0.413,87.34,88.16,87.548,0.592,88.082,87.108,0.974,20,10
BiGRU+GRU,Hardswish,ReLU,5,87.622,0.325,0.404,87.09,87.86,87.554,0.617,88.042,87.16,0.882,24,14
BiGRU+BiGRU,Hardswish,Hardswish,5,87.62,0.228,0.283,87.4,87.98,87.492,0.464,88.428,86.672,1.756,25,11
BiGRU+GRU,SELU,Hardswish,5,87.612,0.434,0.539,86.88,87.97,87.578,0.832,87.798,87.496,0.302,26,15
BiGRU+BiGRU,ReLU,PReLU,5,87.612,0.14,0.174,87.41,87.77,87.546,0.304,88.03,87.112,0.918,26,12
BiGRU+GRU,SiLU,SELU,5,87.606,0.268,0.333,87.3,87.91,87.622,0.284,87.564,87.768,0.204,28,16
BiGRU+BiGRU,Tanh,ReLU,5,87.604,0.263,0.327,87.26,87.96,87.522,0.489,88.102,87.02,1.082,29,13
BiGRU+GRU,ReLU,Tanh,5,87.602,0.237,0.294,87.31,87.88,87.6,0.476,87.616,87.664,0.048,30,17
BiGRU+GRU,LeakyReLU,SiLU,5,87.602,0.422,0.524,87.03,88.11,87.504,0.56,88.194,86.848,1.346,30,17
BiGRU+GRU,ELU,Mish,5,87.602,0.163,0.202,87.37,87.77,87.606,0.258,87.586,87.64,0.054,30,17
