architecture,act1,act2,single_seed_acc,multiseed_mean,delta,multiseed_std,ci95,acc_min,acc_max,within_ci,single_rank,multiseed_rank,rank_change,abs_delta,abs_rank_change
BiGRU+BiGRU,SiLU,Mish,86.96,87.726,0.766,0.158,0.196,87.47,87.86,False,77,1,76,0.766,76
BiGRU+BiGRU,Tanh,LeakyReLU,87.29,87.724,0.434,0.4,0.497,87.19,88.27,True,59,2,57,0.434,57
BiGRU+BiGRU,GELU,GELU,87.08,87.702,0.622,0.18,0.224,87.42,87.9,False,72,3,69,0.622,69
BiGRU+BiGRU,SiLU,Hardswish,87.24,87.702,0.462,0.096,0.119,87.61,87.84,False,62,3,59,0.462,59
BiGRU+BiGRU,GELU,Hardswish,86.81,87.688,0.878,0.182,0.226,87.45,87.88,False,86,5,81,0.878,81
BiGRU+BiGRU,SiLU,LeakyReLU,87.57,87.656,0.086,0.199,0.247,87.37,87.92,True,31,6,25,0.086,25
BiGRU+BiGRU,LeakyReLU,SELU,87.56,87.654,0.094,0.114,0.141,87.54,87.84,True,32,7,25,0.094,25
BiGRU+BiGRU,SELU,ReLU,87.38,87.648,0.268,0.289,0.358,87.31,88.05,True,51,8,43,0.268,43
BiGRU+BiGRU,Hardswish,ReLU,87.51,87.64,0.13,0.291,0.361,87.23,88.02,True,37,9,28,0.13,28
BiGRU+BiGRU,Hardswish,Tanh,87.49,87.636,0.146,0.316,0.393,87.29,88.02,True,39,10,29,0.146,29
BiGRU+BiGRU,Hardswish,Hardswish,87.6,87.62,0.02,0.228,0.283,87.4,87.98,True,27,11,16,0.02,16
BiGRU+BiGRU,ReLU,PReLU,87.56,87.612,0.052,0.14,0.174,87.41,87.77,True,32,12,20,0.052,20
BiGRU+BiGRU,Tanh,ReLU,86.71,87.604,0.894,0.263,0.327,87.26,87.96,False,90,13,77,0.894,77
BiGRU+BiGRU,LeakyReLU,Hardswish,87.88,87.602,-0.278,0.196,0.244,87.29,87.8,False,5,14,-9,0.278,9
BiGRU+BiGRU,GELU,SiLU,87.86,87.6,-0.26,0.363,0.451,87.16,88.13,True,7,15,-8,0.26,8
BiGRU+BiGRU,SiLU,SELU,87.6,87.6,0.0,0.517,0.642,87.07,88.39,True,27,15,12,0.0,12
BiGRU+BiGRU,ReLU,GELU,87.76,87.594,-0.166,0.242,0.3,87.26,87.9,True,12,17,-5,0.166,5
BiGRU+BiGRU,Mish,GELU,86.33,87.592,1.262,0.206,0.256,87.27,87.75,False,98,18,80,1.262,80
BiGRU+BiGRU,SiLU,PReLU,87.27,87.584,0.314,0.15,0.187,87.35,87.72,False,60,19,41,0.314,41
BiGRU+BiGRU,ELU,ELU,87.5,87.584,0.084,0.151,0.188,87.36,87.73,True,38,19,19,0.084,19
BiGRU+BiGRU,SELU,LeakyReLU,87.47,87.582,0.112,0.15,0.186,87.42,87.81,True,42,21,21,0.112,21
BiGRU+BiGRU,SiLU,GELU,87.68,87.578,-0.102,0.113,0.141,87.45,87.7,True,15,22,-7,0.102,7
BiGRU+BiGRU,Mish,ELU,87.64,87.568,-0.072,0.214,0.266,87.29,87.82,True,22,23,-1,0.072,1
BiGRU+BiGRU,LeakyReLU,GELU,87.26,87.562,0.302,0.264,0.328,87.25,87.97,True,61,24,37,0.302,37
BiGRU+BiGRU,ReLU,ReLU,87.65,87.558,-0.092,0.189,0.234,87.35,87.79,True,20,25,-5,0.092,5
BiGRU+BiGRU,LeakyReLU,SiLU,87.01,87.552,0.542,0.322,0.4,87.15,88.04,False,74,26,48,0.542,48
