Act1,Act2,Accuracy,Precision,Recall,F1,Beat_Paper
Tanh,Hardswish,88.06,87.46,88.86,88.15,False
ReLU,Mish,88.03,86.93,89.52,88.21,False
Hardswish,Mish,88.02,86.97,89.44,88.19,False
SiLU,SiLU,87.89,85.48,91.28,88.29,False
GELU,SELU,87.88,87.91,87.84,87.88,False
LeakyReLU,Hardswish,87.88,86.15,90.28,88.16,False
GELU,SiLU,87.86,87.5,88.34,87.92,False
GELU,ELU,87.85,87.38,88.48,87.93,False
ReLU,SiLU,87.84,88.41,87.1,87.75,False
SELU,SELU,87.82,86.06,90.26,88.11,False
SELU,ELU,87.8,88.82,86.48,87.64,False
ReLU,GELU,87.76,87.78,87.74,87.76,False
SiLU,ELU,87.75,86.81,89.02,87.9,False
PReLU,SELU,87.69,85.74,90.42,88.02,False
SiLU,GELU,87.68,87.79,87.54,87.66,False
ELU,SiLU,87.67,90.41,84.28,87.24,False
Hardswish,GELU,87.67,89.17,85.76,87.43,False
Hardswish,SiLU,87.67,85.46,90.78,88.04,False
PReLU,ReLU,87.67,87.3,88.16,87.73,False
ReLU,ReLU,87.65,87.52,87.82,87.67,False
PReLU,ELU,87.65,88.46,86.6,87.52,False
GELU,LeakyReLU,87.64,88.84,86.1,87.45,False
Mish,ELU,87.64,86.52,89.18,87.83,False
ReLU,LeakyReLU,87.62,87.22,88.16,87.69,False
Mish,Tanh,87.62,86.43,89.26,87.82,False
LeakyReLU,ReLU,87.61,89.19,85.6,87.36,False
Hardswish,Hardswish,87.6,88.46,86.48,87.46,False
SiLU,SELU,87.6,87.6,87.6,87.6,False
ReLU,ELU,87.59,86.95,88.46,87.7,False
PReLU,LeakyReLU,87.58,87.5,87.68,87.59,False
SiLU,LeakyReLU,87.57,85.53,90.44,87.92,False
ReLU,PReLU,87.56,88.98,85.74,87.33,False
LeakyReLU,SELU,87.56,86.05,89.66,87.82,False
LeakyReLU,Mish,87.53,88.21,86.64,87.42,False
Hardswish,ELU,87.52,88.13,86.72,87.42,False
SiLU,Tanh,87.52,88.79,85.88,87.31,False
Hardswish,ReLU,87.51,87.87,87.04,87.45,False
ELU,ELU,87.5,85.38,90.5,87.86,False
Hardswish,Tanh,87.49,87.02,88.12,87.57,False
Mish,SiLU,87.49,86.81,88.42,87.61,False
SELU,Tanh,87.48,88.85,85.72,87.26,False
Hardswish,SELU,87.47,86.58,88.68,87.62,False
SELU,LeakyReLU,87.47,85.68,89.98,87.78,False
ELU,Hardswish,87.44,87.47,87.4,87.43,False
Tanh,PReLU,87.43,87.97,86.72,87.34,False
GELU,Mish,87.42,88.26,86.32,87.28,False
Hardswish,LeakyReLU,87.41,88.86,85.54,87.17,False
Tanh,SiLU,87.4,86.27,88.96,87.59,False
ReLU,SELU,87.39,84.95,90.88,87.82,False
SiLU,ReLU,87.39,84.72,91.24,87.86,False
SELU,ReLU,87.38,88.55,85.86,87.19,False
ELU,GELU,87.38,89.18,85.08,87.08,False
Tanh,ELU,87.36,87.81,86.76,87.28,False
LeakyReLU,Tanh,87.35,85.39,90.12,87.69,False
ELU,SELU,87.35,85.78,89.54,87.62,False
PReLU,SiLU,87.34,87.3,87.4,87.35,False
GELU,PReLU,87.3,87.49,87.04,87.27,False
SELU,GELU,87.3,87.27,87.34,87.31,False
Tanh,LeakyReLU,87.29,87.9,86.48,87.19,False
SiLU,PReLU,87.27,88.02,86.28,87.14,False
LeakyReLU,GELU,87.26,84.98,90.52,87.66,False
SiLU,Hardswish,87.24,87.11,87.42,87.26,False
SELU,Hardswish,87.22,88.72,85.28,86.97,False
PReLU,PReLU,87.21,85.51,89.6,87.51,False
Mish,ReLU,87.21,88.2,85.92,87.04,False
LeakyReLU,LeakyReLU,87.19,88.7,85.24,86.94,False
Tanh,GELU,87.19,88.55,85.42,86.96,False
Mish,SELU,87.17,88.99,84.84,86.86,False
Tanh,SELU,87.16,88.9,84.92,86.87,False
GELU,ReLU,87.16,90.15,83.44,86.66,False
SELU,Mish,87.13,89.24,84.44,86.77,False
GELU,GELU,87.08,86.21,88.28,87.23,False
Tanh,Mish,87.06,84.95,90.08,87.44,False
LeakyReLU,SiLU,87.01,87.59,86.24,86.91,False
ELU,Mish,87.01,87.44,86.44,86.94,False
PReLU,Tanh,86.99,85.47,89.14,87.26,False
SiLU,Mish,86.96,90.63,82.44,86.34,False
Tanh,Tanh,86.91,86.07,88.08,87.06,False
LeakyReLU,ELU,86.9,90.02,83.0,86.37,False
GELU,Tanh,86.89,84.19,90.84,87.39,False
Mish,LeakyReLU,86.85,85.16,89.26,87.16,False
PReLU,Mish,86.84,89.6,83.36,86.37,False
Hardswish,PReLU,86.83,87.95,85.36,86.63,False
PReLU,Hardswish,86.83,90.46,82.34,86.21,False
ELU,ReLU,86.82,89.35,83.6,86.38,False
GELU,Hardswish,86.81,88.07,85.16,86.59,False
LeakyReLU,PReLU,86.79,88.65,84.38,86.46,False
ELU,PReLU,86.79,89.77,83.04,86.28,False
ReLU,Hardswish,86.79,89.93,82.86,86.25,False
Tanh,ReLU,86.71,87.06,86.24,86.65,False
ELU,Tanh,86.7,89.55,83.1,86.2,False
Mish,PReLU,86.69,89.17,83.52,86.25,False
SELU,PReLU,86.69,91.03,81.4,85.95,False
SELU,SiLU,86.65,83.99,90.56,87.15,False
PReLU,GELU,86.64,89.6,82.9,86.12,False
Mish,Hardswish,86.52,84.81,88.98,86.84,False
ELU,LeakyReLU,86.4,88.01,84.28,86.11,False
Mish,GELU,86.33,91.65,79.94,85.4,False
Mish,Mish,86.05,81.78,92.76,86.93,False
ReLU,Tanh,86.02,88.78,82.46,85.5,False
