Act1,Act2,Accuracy,Precision,Recall,F1,Beat_Paper
Tanh,GELU,87.82,87.61,88.1,87.85,False
PReLU,Mish,87.53,87.9,87.04,87.47,False
LeakyReLU,PReLU,87.51,87.85,87.06,87.45,False
SELU,Tanh,87.5,87.16,87.96,87.56,False
ReLU,ELU,87.46,85.5,90.22,87.8,False
Hardswish,ELU,87.45,85.34,90.44,87.81,False
ELU,ReLU,87.42,86.61,88.52,87.56,False
SELU,Hardswish,87.41,86.86,88.16,87.5,False
GELU,Tanh,87.39,86.72,88.3,87.5,False
LeakyReLU,ReLU,87.38,88.71,85.66,87.16,False
Mish,ELU,87.38,88.33,86.14,87.22,False
ELU,ELU,87.37,87.97,86.58,87.27,False
LeakyReLU,Tanh,87.35,86.86,88.02,87.43,False
GELU,Hardswish,87.35,85.36,90.16,87.7,False
SiLU,GELU,87.34,84.06,92.16,87.92,False
SELU,Mish,87.34,86.77,88.12,87.44,False
Tanh,ELU,87.33,85.72,89.58,87.61,False
Hardswish,PReLU,87.31,87.85,86.6,87.22,False
ReLU,Mish,87.26,88.62,85.5,87.03,False
Mish,Hardswish,87.26,86.53,88.26,87.39,False
ReLU,SELU,87.23,89.4,84.48,86.87,False
SELU,SiLU,87.22,87.15,87.32,87.23,False
Mish,PReLU,87.22,84.73,90.8,87.66,False
Mish,ReLU,87.21,86.39,88.34,87.35,False
SiLU,SiLU,87.19,87.66,86.56,87.11,False
Mish,LeakyReLU,87.19,85.41,89.7,87.5,False
SELU,PReLU,87.17,85.34,89.76,87.49,False
Hardswish,LeakyReLU,87.16,86.33,88.3,87.3,False
GELU,SELU,87.14,87.36,86.84,87.1,False
Hardswish,ReLU,87.14,88.74,85.08,86.87,False
PReLU,LeakyReLU,87.13,85.7,89.14,87.38,False
LeakyReLU,GELU,87.09,85.32,89.6,87.41,False
PReLU,PReLU,87.08,86.57,87.78,87.17,False
ELU,Tanh,87.07,86.14,88.36,87.23,False
Tanh,SELU,87.05,87.57,86.36,86.96,False
SELU,LeakyReLU,87.04,88.58,85.04,86.78,False
PReLU,Hardswish,87.03,87.69,86.16,86.92,False
Tanh,LeakyReLU,87.02,86.73,87.42,87.07,False
GELU,ELU,87.01,88.24,85.4,86.8,False
Hardswish,Mish,87.0,86.5,87.68,87.09,False
ReLU,Hardswish,87.0,87.74,86.02,86.87,False
ELU,GELU,86.99,85.84,88.6,87.2,False
SiLU,ReLU,86.99,86.1,88.22,87.15,False
PReLU,ReLU,86.98,89.12,84.24,86.61,False
Tanh,Mish,86.95,85.89,88.42,87.14,False
PReLU,ELU,86.94,87.53,86.16,86.84,False
SELU,ELU,86.91,84.83,89.9,87.29,False
Hardswish,Hardswish,86.88,86.3,87.68,86.98,False
Tanh,SiLU,86.88,87.28,86.34,86.81,False
ReLU,ReLU,86.85,87.89,85.48,86.67,False
GELU,LeakyReLU,86.83,86.3,87.56,86.93,False
Mish,Tanh,86.82,86.94,86.66,86.8,False
LeakyReLU,ELU,86.82,86.18,87.7,86.93,False
LeakyReLU,LeakyReLU,86.79,87.92,85.3,86.59,False
SELU,SELU,86.79,85.48,88.64,87.03,False
Tanh,Tanh,86.76,85.08,89.16,87.07,False
GELU,PReLU,86.76,88.99,83.9,86.37,False
Tanh,ReLU,86.71,86.11,87.54,86.82,False
ELU,LeakyReLU,86.69,85.08,88.98,86.99,False
Hardswish,Tanh,86.69,86.32,87.2,86.76,False
Mish,SELU,86.68,86.49,86.94,86.71,False
Mish,GELU,86.68,86.74,86.6,86.67,False
SiLU,Mish,86.63,85.89,87.66,86.77,False
SiLU,LeakyReLU,86.63,87.37,85.64,86.5,False
PReLU,Tanh,86.61,86.6,86.62,86.61,False
Tanh,PReLU,86.61,88.1,84.66,86.34,False
GELU,Mish,86.61,85.36,88.38,86.84,False
ReLU,LeakyReLU,86.59,89.32,83.12,86.11,False
SiLU,PReLU,86.56,88.86,83.6,86.15,False
ReLU,Tanh,86.54,89.12,83.24,86.08,False
Hardswish,SiLU,86.53,82.53,92.68,87.31,False
PReLU,SiLU,86.52,85.02,88.66,86.8,False
ReLU,PReLU,86.51,89.05,83.26,86.06,False
LeakyReLU,Mish,86.51,87.29,85.46,86.37,False
LeakyReLU,SiLU,86.5,89.52,82.68,85.96,False
SiLU,Tanh,86.48,87.19,85.52,86.35,False
ELU,Mish,86.47,87.59,84.98,86.27,False
LeakyReLU,SELU,86.45,86.34,86.6,86.47,False
ELU,SiLU,86.43,87.55,84.94,86.22,False
SELU,ReLU,86.39,88.17,84.06,86.07,False
ELU,Hardswish,86.39,87.28,85.2,86.23,False
ELU,PReLU,86.39,87.52,84.88,86.18,False
SELU,GELU,86.39,84.6,88.98,86.73,False
Mish,SiLU,86.36,84.55,88.98,86.71,False
LeakyReLU,Hardswish,86.35,88.13,84.02,86.02,False
ELU,SELU,86.34,84.61,88.84,86.67,False
SiLU,ELU,86.3,87.07,85.26,86.16,False
ReLU,SiLU,86.3,88.16,83.86,85.96,False
SiLU,SELU,86.19,84.95,87.96,86.43,False
ReLU,GELU,86.15,87.14,84.82,85.96,False
GELU,SiLU,86.07,88.5,82.92,85.62,False
SiLU,Hardswish,86.02,84.05,88.92,86.41,False
Mish,Mish,85.95,87.07,84.44,85.73,False
PReLU,SELU,85.84,85.47,86.36,85.91,False
Hardswish,SELU,85.69,87.62,83.12,85.31,False
GELU,ReLU,85.59,84.12,87.74,85.89,False
Tanh,Hardswish,85.58,83.04,89.42,86.11,False
Hardswish,GELU,85.56,86.04,84.9,85.46,False
GELU,GELU,85.49,83.68,88.18,85.87,False
PReLU,GELU,85.45,87.55,82.66,85.03,False
