Act1,Act2,Accuracy,Precision,Recall,F1,Beat_Paper
LeakyReLU,Tanh,88.05,88.4,87.6,88.0,False
PReLU,ELU,88.04,87.74,88.44,88.09,False
GELU,SiLU,88.03,88.19,87.82,88.0,False
ELU,PReLU,88.02,87.81,88.3,88.05,False
ELU,GELU,88.01,88.34,87.58,87.96,False
LeakyReLU,SELU,88.0,88.03,87.96,88.0,False
ELU,ReLU,87.99,86.95,89.4,88.16,False
Tanh,GELU,87.98,86.82,89.56,88.17,False
ELU,SELU,87.96,88.5,87.26,87.88,False
Mish,GELU,87.96,86.95,89.32,88.12,False
LeakyReLU,ReLU,87.94,86.55,89.84,88.16,False
ReLU,Mish,87.94,88.03,87.82,87.93,False
ELU,LeakyReLU,87.92,87.43,88.58,88.0,False
Mish,SELU,87.9,87.57,88.34,87.95,False
LeakyReLU,Hardswish,87.88,87.28,88.68,87.98,False
PReLU,SiLU,87.87,88.14,87.52,87.83,False
SiLU,Mish,87.85,89.09,86.26,87.65,False
ReLU,SiLU,87.82,88.16,87.38,87.77,False
ReLU,LeakyReLU,87.81,87.65,88.02,87.84,False
GELU,PReLU,87.8,86.97,88.92,87.94,False
Mish,Mish,87.79,88.01,87.5,87.75,False
GELU,SELU,87.76,87.78,87.74,87.76,False
SiLU,PReLU,87.76,90.1,84.84,87.39,False
SiLU,Tanh,87.76,88.98,86.2,87.57,False
ReLU,GELU,87.74,88.26,87.06,87.66,False
PReLU,ReLU,87.73,87.41,88.16,87.78,False
SELU,GELU,87.73,87.2,88.44,87.82,False
Mish,PReLU,87.73,86.94,88.8,87.86,False
LeakyReLU,ELU,87.73,89.46,85.54,87.46,False
ELU,Hardswish,87.71,88.19,87.08,87.63,False
Tanh,Mish,87.69,87.82,87.52,87.67,False
Hardswish,SELU,87.68,87.16,88.38,87.77,False
SELU,PReLU,87.65,86.1,89.8,87.91,False
SiLU,SiLU,87.65,88.27,86.84,87.55,False
Mish,LeakyReLU,87.64,87.87,87.34,87.6,False
Hardswish,PReLU,87.62,87.6,87.64,87.62,False
Mish,SiLU,87.62,88.66,86.28,87.45,False
GELU,Mish,87.59,88.13,86.88,87.5,False
SiLU,Hardswish,87.58,88.68,86.16,87.4,False
SELU,LeakyReLU,87.58,88.66,86.18,87.4,False
Mish,ReLU,87.56,88.44,86.42,87.42,False
Tanh,PReLU,87.56,87.53,87.6,87.56,False
Tanh,SiLU,87.55,85.8,90.0,87.85,False
Hardswish,SiLU,87.54,85.85,89.9,87.83,False
Mish,ELU,87.54,88.37,86.46,87.4,False
Hardswish,Hardswish,87.53,89.6,84.92,87.2,False
LeakyReLU,PReLU,87.52,88.44,86.32,87.37,False
PReLU,PReLU,87.52,87.02,88.2,87.6,False
SELU,SELU,87.5,85.69,90.04,87.81,False
SiLU,LeakyReLU,87.49,87.56,87.4,87.48,False
GELU,GELU,87.48,89.4,85.04,87.17,False
LeakyReLU,LeakyReLU,87.46,86.77,88.4,87.58,False
ReLU,ELU,87.45,88.82,85.68,87.22,False
Hardswish,ReLU,87.44,87.82,86.94,87.38,False
ReLU,Tanh,87.43,86.28,89.02,87.63,False
Tanh,ELU,87.42,89.84,84.38,87.03,False
Hardswish,Mish,87.4,89.15,85.16,87.11,False
ReLU,Hardswish,87.39,89.52,84.7,87.04,False
SELU,ReLU,87.38,87.82,86.8,87.31,False
SiLU,ELU,87.35,88.12,86.34,87.22,False
ReLU,PReLU,87.35,85.12,90.52,87.74,False
ELU,ELU,87.35,87.93,86.58,87.25,False
ReLU,SELU,87.35,87.54,87.1,87.32,False
LeakyReLU,Mish,87.35,89.24,84.94,87.04,False
ReLU,ReLU,87.34,90.01,84.0,86.9,False
PReLU,GELU,87.33,86.72,88.16,87.43,False
SELU,Hardswish,87.33,89.02,85.16,87.05,False
ELU,SiLU,87.32,89.5,84.56,86.96,False
Mish,Tanh,87.32,84.56,91.32,87.81,False
SELU,Tanh,87.29,88.32,85.94,87.12,False
ELU,Mish,87.29,86.18,88.82,87.48,False
ELU,Tanh,87.28,88.5,85.7,87.08,False
GELU,Hardswish,87.26,86.13,88.82,87.46,False
GELU,ReLU,87.25,84.52,91.2,87.73,False
PReLU,SELU,87.25,89.52,84.38,86.87,False
LeakyReLU,GELU,87.24,89.07,84.9,86.93,False
SELU,SiLU,87.24,86.55,88.18,87.36,False
Tanh,LeakyReLU,87.24,87.23,87.26,87.24,False
Tanh,Tanh,87.21,87.68,86.58,87.13,False
SELU,Mish,87.19,85.18,90.04,87.54,False
GELU,ELU,87.19,89.11,84.74,86.87,False
GELU,Tanh,87.13,83.11,93.2,87.87,False
Hardswish,ELU,87.12,84.03,91.66,87.68,False
Tanh,Hardswish,87.11,90.99,82.38,86.47,False
SiLU,GELU,87.1,88.84,84.86,86.8,False
Hardswish,GELU,87.08,86.7,87.6,87.15,False
PReLU,LeakyReLU,87.0,89.23,84.16,86.62,False
PReLU,Mish,86.99,86.82,87.22,87.02,False
Hardswish,LeakyReLU,86.96,90.56,82.52,86.35,False
GELU,LeakyReLU,86.95,87.94,85.64,86.78,False
SiLU,SELU,86.92,85.15,89.44,87.24,False
Tanh,ReLU,86.89,83.34,92.22,87.55,False
LeakyReLU,SiLU,86.8,89.48,83.4,86.34,False
SiLU,ReLU,86.63,82.86,92.36,87.35,False
Mish,Hardswish,86.53,83.62,90.86,87.09,False
PReLU,Tanh,86.52,83.02,91.82,87.2,False
Tanh,SELU,86.49,89.9,82.22,85.89,False
PReLU,Hardswish,86.4,90.61,81.22,85.66,False
Hardswish,Tanh,85.82,90.76,79.76,84.91,False
SELU,ELU,85.68,90.88,79.32,84.71,False
