arch,act1,act2,acc_mean,acc_std,acc_ci95,f1_mean,prec_mean,rec_mean
BiGRU+GRU,ReLU,LeakyReLU,87.806,0.167,0.207,87.796,87.876,87.744
BiGRU+BiGRU,SiLU,Mish,87.726,0.158,0.196,87.65,88.228,87.196
BiGRU+BiGRU,Tanh,LeakyReLU,87.724,0.4,0.497,87.7,87.956,87.528
BiGRU+GRU,Tanh,GELU,87.712,0.288,0.357,87.752,87.502,88.056
BiGRU+GRU,PReLU,ReLU,87.712,0.175,0.218,87.666,88.016,87.356
BiGRU+BiGRU,GELU,GELU,87.702,0.18,0.224,87.582,88.476,86.84
BiGRU+BiGRU,SiLU,Hardswish,87.702,0.096,0.119,87.686,87.86,87.66
BiGRU+BiGRU,GELU,Hardswish,87.688,0.182,0.226,87.654,87.952,87.496
BiGRU+GRU,SiLU,GELU,87.682,0.18,0.223,87.63,87.996,87.324
BiGRU+GRU,PReLU,GELU,87.682,0.277,0.344,87.714,87.49,88.016
BiGRU+GRU,SELU,Tanh,87.672,0.305,0.378,87.67,87.706,87.704
BiGRU+GRU,ReLU,GELU,87.67,0.195,0.242,87.754,87.17,88.36
BiGRU+BiGRU,SiLU,LeakyReLU,87.656,0.199,0.247,87.618,87.908,87.38
BiGRU+BiGRU,LeakyReLU,SELU,87.654,0.114,0.141,87.556,88.278,86.908
BiGRU+GRU,PReLU,SiLU,87.65,0.268,0.333,87.652,87.642,87.72
BiGRU+BiGRU,SELU,ReLU,87.648,0.289,0.358,87.63,87.802,87.524
BiGRU+BiGRU,Hardswish,ReLU,87.64,0.291,0.361,87.45,88.81,86.212
BiGRU+BiGRU,Hardswish,Tanh,87.636,0.316,0.393,87.768,86.848,88.728
BiGRU+GRU,Tanh,LeakyReLU,87.63,0.305,0.379,87.776,86.834,88.844
BiGRU+GRU,Hardswish,GELU,87.626,0.297,0.369,87.6,87.78,87.448
BiGRU+GRU,ELU,SiLU,87.626,0.27,0.335,87.606,87.768,87.492
BiGRU+GRU,Hardswish,Mish,87.626,0.171,0.212,87.658,87.42,87.928
BiGRU+GRU,SiLU,ELU,87.626,0.332,0.413,87.548,88.082,87.108
BiGRU+GRU,Hardswish,ReLU,87.622,0.325,0.404,87.554,88.042,87.16
BiGRU+BiGRU,Hardswish,Hardswish,87.62,0.228,0.283,87.492,88.428,86.672
BiGRU+GRU,SELU,Hardswish,87.612,0.434,0.539,87.578,87.798,87.496
BiGRU+BiGRU,ReLU,PReLU,87.612,0.14,0.174,87.546,88.03,87.112
BiGRU+GRU,SiLU,SELU,87.606,0.268,0.333,87.622,87.564,87.768
BiGRU+BiGRU,Tanh,ReLU,87.604,0.263,0.327,87.522,88.102,87.02
BiGRU+GRU,ReLU,Tanh,87.602,0.237,0.294,87.6,87.616,87.664
BiGRU+GRU,LeakyReLU,SiLU,87.602,0.422,0.524,87.504,88.194,86.848
BiGRU+GRU,ELU,Mish,87.602,0.163,0.202,87.606,87.586,87.64
BiGRU+BiGRU,LeakyReLU,Hardswish,87.602,0.196,0.244,87.676,87.162,88.208
BiGRU+BiGRU,SiLU,SELU,87.6,0.517,0.642,87.752,86.732,88.852
BiGRU+GRU,LeakyReLU,GELU,87.6,0.29,0.36,87.766,86.656,88.96
BiGRU+BiGRU,GELU,SiLU,87.6,0.363,0.451,87.63,87.422,87.92
BiGRU+GRU,GELU,Tanh,87.598,0.282,0.35,87.668,87.21,88.22
BiGRU+GRU,SiLU,SiLU,87.598,0.219,0.272,87.396,88.836,86.048
BiGRU+BiGRU,ReLU,GELU,87.594,0.242,0.3,87.494,88.214,86.832
BiGRU+GRU,ELU,PReLU,87.594,0.396,0.492,87.7,86.97,88.46
BiGRU+BiGRU,Mish,GELU,87.592,0.206,0.256,87.596,87.6,87.72
BiGRU+GRU,PReLU,PReLU,87.592,0.406,0.504,87.56,87.76,87.428
BiGRU+GRU,Hardswish,LeakyReLU,87.59,0.251,0.312,87.682,87.06,88.348
BiGRU+GRU,SiLU,Hardswish,87.59,0.333,0.414,87.642,87.294,88.076
BiGRU+GRU,GELU,Hardswish,87.588,0.253,0.315,87.43,88.564,86.428
BiGRU+BiGRU,SiLU,PReLU,87.584,0.15,0.187,87.476,88.28,86.784
BiGRU+BiGRU,ELU,ELU,87.584,0.151,0.188,87.656,87.152,88.172
BiGRU+BiGRU,SELU,LeakyReLU,87.582,0.15,0.186,87.756,86.57,89.044
BiGRU+GRU,PReLU,Hardswish,87.58,0.338,0.419,87.614,87.376,87.872
BiGRU+BiGRU,SiLU,GELU,87.578,0.113,0.141,87.492,88.152,86.98
BiGRU+GRU,Mish,Mish,87.576,0.303,0.376,87.484,88.126,86.924
BiGRU+GRU,GELU,GELU,87.57,0.396,0.492,87.436,88.372,86.604
BiGRU+GRU,Mish,PReLU,87.57,0.2,0.249,87.444,88.352,86.592
BiGRU+BiGRU,Mish,ELU,87.568,0.214,0.266,87.738,86.55,89.016
BiGRU+GRU,GELU,PReLU,87.566,0.406,0.505,87.344,88.924,85.876
BiGRU+BiGRU,LeakyReLU,GELU,87.562,0.264,0.328,87.474,88.104,86.956
BiGRU+GRU,LeakyReLU,ReLU,87.56,0.254,0.316,87.522,87.804,87.284
BiGRU+BiGRU,ReLU,ReLU,87.558,0.189,0.234,87.49,87.992,87.124
BiGRU+BiGRU,LeakyReLU,SiLU,87.552,0.322,0.4,87.51,87.806,87.304
BiGRU+GRU,Mish,GELU,87.55,0.215,0.267,87.386,88.566,86.272
BiGRU+BiGRU,Mish,Hardswish,87.546,0.197,0.245,87.702,86.612,88.856
BiGRU+GRU,SiLU,PReLU,87.544,0.503,0.624,87.594,87.26,88.008
BiGRU+GRU,SELU,ELU,87.544,0.292,0.362,87.528,87.662,87.444
BiGRU+BiGRU,GELU,ELU,87.54,0.196,0.243,87.55,87.506,87.724
BiGRU+BiGRU,Hardswish,Mish,87.538,0.135,0.168,87.528,87.636,87.56
BiGRU+BiGRU,Mish,LeakyReLU,87.538,0.175,0.217,87.462,88.064,86.968
BiGRU+GRU,Hardswish,Tanh,87.534,0.272,0.338,87.388,88.43,86.456
BiGRU+BiGRU,Mish,SiLU,87.534,0.326,0.405,87.464,87.976,87.14
BiGRU+BiGRU,Hardswish,SiLU,87.534,0.192,0.238,87.366,88.608,86.304
BiGRU+BiGRU,PReLU,ReLU,87.532,0.227,0.282,87.442,88.102,86.856
BiGRU+GRU,PReLU,ELU,87.532,0.188,0.234,87.428,88.174,86.716
BiGRU+GRU,SELU,SiLU,87.53,0.316,0.392,87.546,87.436,87.808
BiGRU+BiGRU,PReLU,Mish,87.53,0.304,0.377,87.37,88.526,86.368
BiGRU+BiGRU,SiLU,SiLU,87.53,0.305,0.378,87.388,88.406,86.548
BiGRU+BiGRU,GELU,Mish,87.528,0.294,0.365,87.684,86.6,88.812
BiGRU+GRU,Hardswish,Hardswish,87.528,0.327,0.406,87.368,88.51,86.352
BiGRU+BiGRU,GELU,ReLU,87.528,0.299,0.371,87.334,88.724,86.084
BiGRU+BiGRU,Mish,Mish,87.524,0.205,0.255,87.71,86.43,89.064
BiGRU+BiGRU,ReLU,Hardswish,87.524,0.337,0.419,87.374,88.434,86.456
BiGRU+GRU,GELU,Mish,87.524,0.27,0.335,87.46,87.938,87.072
BiGRU+GRU,Mish,SiLU,87.52,0.286,0.355,87.442,88.0,86.956
BiGRU+GRU,SiLU,LeakyReLU,87.52,0.175,0.217,87.558,87.326,87.912
BiGRU+GRU,ELU,GELU,87.518,0.492,0.611,87.43,88.012,86.964
BiGRU+BiGRU,Hardswish,LeakyReLU,87.518,0.307,0.382,87.544,87.408,87.76
BiGRU+BiGRU,Hardswish,GELU,87.516,0.263,0.326,87.352,88.536,86.324
BiGRU+BiGRU,ReLU,Tanh,87.514,0.32,0.397,87.62,86.896,88.412
BiGRU+GRU,Mish,ReLU,87.514,0.387,0.48,87.38,88.312,86.568
BiGRU+BiGRU,ReLU,SiLU,87.514,0.249,0.309,87.458,87.884,87.156
BiGRU+GRU,ELU,Hardswish,87.51,0.499,0.62,87.626,86.87,88.444
BiGRU+BiGRU,ELU,GELU,87.506,0.172,0.214,87.494,87.594,87.508
BiGRU+BiGRU,Tanh,PReLU,87.506,0.252,0.313,87.39,88.24,86.692
BiGRU+GRU,SiLU,Tanh,87.506,0.433,0.538,87.258,89.046,85.644
BiGRU+GRU,LeakyReLU,Hardswish,87.506,0.126,0.157,87.448,87.872,87.064
BiGRU+BiGRU,PReLU,Hardswish,87.506,0.219,0.272,87.422,88.012,86.94
BiGRU+BiGRU,Tanh,GELU,87.504,0.117,0.146,87.626,86.832,88.544
BiGRU+BiGRU,PReLU,SiLU,87.502,0.261,0.324,87.446,87.91,87.16
BiGRU+GRU,Tanh,Hardswish,87.502,0.313,0.388,87.448,87.834,87.172
BiGRU+GRU,GELU,ELU,87.5,0.353,0.438,87.46,87.802,87.224
BiGRU+BiGRU,ELU,PReLU,87.498,0.337,0.418,87.44,87.844,87.144
BiGRU+BiGRU,Mish,PReLU,87.498,0.234,0.291,87.394,88.174,86.76
BiGRU+BiGRU,Tanh,Mish,87.494,0.3,0.372,87.602,86.846,88.42
BiGRU+BiGRU,ELU,LeakyReLU,87.494,0.318,0.395,87.422,87.948,86.988
BiGRU+BiGRU,ReLU,Mish,87.494,0.312,0.388,87.374,88.222,86.62
BiGRU+GRU,SELU,GELU,87.492,0.343,0.426,87.622,86.76,88.568
BiGRU+GRU,ReLU,ReLU,87.488,0.31,0.385,87.384,88.124,86.748
BiGRU+GRU,PReLU,SELU,87.482,0.425,0.528,87.41,87.89,87.016
BiGRU+BiGRU,LeakyReLU,Mish,87.48,0.298,0.37,87.48,87.506,87.54
BiGRU+BiGRU,Mish,SELU,87.48,0.334,0.415,87.678,86.348,89.092
BiGRU+GRU,ReLU,Hardswish,87.478,0.403,0.5,87.352,88.242,86.604
BiGRU+GRU,SELU,SELU,87.478,0.58,0.72,87.39,87.984,86.904
BiGRU+BiGRU,ReLU,LeakyReLU,87.474,0.478,0.593,87.306,88.468,86.256
BiGRU+GRU,LeakyReLU,Mish,87.474,0.192,0.238,87.484,87.442,87.604
BiGRU+GRU,Mish,Hardswish,87.472,0.419,0.521,87.572,86.876,88.372
BiGRU+BiGRU,SiLU,Tanh,87.472,0.36,0.447,87.326,88.362,86.5
BiGRU+BiGRU,ELU,Tanh,87.472,0.288,0.358,87.584,86.79,88.42
BiGRU+GRU,LeakyReLU,ELU,87.47,0.421,0.523,87.5,87.286,87.752
BiGRU+BiGRU,GELU,PReLU,87.47,0.274,0.34,87.42,87.806,87.168
BiGRU+BiGRU,SELU,Mish,87.464,0.136,0.169,87.424,87.732,87.232
BiGRU+BiGRU,PReLU,LeakyReLU,87.462,0.477,0.592,87.412,87.768,87.216
BiGRU+GRU,PReLU,Mish,87.462,0.114,0.142,87.364,88.082,86.708
BiGRU+GRU,SELU,Mish,87.462,0.309,0.384,87.528,87.06,88.088
BiGRU+GRU,ELU,ELU,87.46,0.474,0.589,87.34,88.152,86.6
BiGRU+GRU,LeakyReLU,PReLU,87.458,0.348,0.432,87.364,88.016,86.792
BiGRU+BiGRU,Hardswish,SELU,87.456,0.248,0.308,87.302,88.404,86.32
BiGRU+BiGRU,PReLU,SELU,87.452,0.244,0.303,87.568,86.766,88.468
BiGRU+GRU,Tanh,Mish,87.452,0.342,0.425,87.276,88.524,86.136
BiGRU+GRU,GELU,SELU,87.452,0.417,0.517,87.216,88.868,85.668
BiGRU+BiGRU,LeakyReLU,LeakyReLU,87.448,0.346,0.43,87.218,88.848,85.768
BiGRU+GRU,PReLU,Tanh,87.448,0.527,0.654,87.338,88.104,86.684
BiGRU+GRU,Mish,SELU,87.432,0.508,0.63,87.32,88.09,86.684
BiGRU+GRU,GELU,SiLU,87.432,0.154,0.191,87.524,86.944,88.188
BiGRU+BiGRU,Hardswish,ELU,87.43,0.345,0.429,87.392,87.668,87.324
BiGRU+BiGRU,ELU,Hardswish,87.428,0.276,0.343,87.488,87.102,87.98
BiGRU+GRU,ELU,Tanh,87.428,0.245,0.305,87.156,89.08,85.356
BiGRU+BiGRU,Mish,ReLU,87.426,0.348,0.432,87.42,87.518,87.472
BiGRU+BiGRU,PReLU,PReLU,87.424,0.39,0.484,87.218,88.662,85.976
BiGRU+GRU,Hardswish,PReLU,87.424,0.183,0.227,87.46,87.224,87.76
BiGRU+GRU,Hardswish,SiLU,87.422,0.46,0.571,87.166,88.942,85.548
BiGRU+BiGRU,SELU,PReLU,87.418,0.188,0.233,87.226,88.592,85.944
BiGRU+BiGRU,SiLU,ELU,87.418,0.41,0.509,87.54,86.706,88.408
BiGRU+GRU,Mish,ELU,87.418,0.269,0.334,87.486,87.004,88.016
BiGRU+GRU,Hardswish,SELU,87.416,0.377,0.468,87.278,88.242,86.472
BiGRU+BiGRU,Hardswish,PReLU,87.414,0.441,0.548,87.268,88.276,86.436
BiGRU+GRU,PReLU,LeakyReLU,87.408,0.437,0.542,87.164,88.88,85.56
BiGRU+BiGRU,SELU,Hardswish,87.406,0.594,0.737,87.324,87.846,87.016
BiGRU+BiGRU,SiLU,ReLU,87.406,0.355,0.441,87.186,88.736,85.772
BiGRU+BiGRU,PReLU,GELU,87.404,0.331,0.411,87.374,87.586,87.252
BiGRU+GRU,LeakyReLU,LeakyReLU,87.404,0.708,0.88,87.172,88.752,85.76
BiGRU+GRU,SELU,ReLU,87.402,0.318,0.394,87.388,87.502,87.308
BiGRU+BiGRU,ReLU,ELU,87.402,0.358,0.445,87.514,86.762,88.368
BiGRU+BiGRU,PReLU,Tanh,87.4,0.285,0.354,87.43,87.252,87.712
BiGRU+BiGRU,Mish,Tanh,87.398,0.298,0.371,87.406,87.362,87.576
BiGRU+GRU,GELU,LeakyReLU,87.398,0.549,0.681,87.274,88.122,86.504
BiGRU+GRU,ReLU,Mish,87.388,0.699,0.868,87.264,88.076,86.584
BiGRU+BiGRU,LeakyReLU,ReLU,87.388,0.226,0.28,87.306,87.918,86.86
BiGRU+GRU,LeakyReLU,Tanh,87.388,0.55,0.682,87.38,87.45,87.444
BiGRU+GRU,GELU,ReLU,87.382,0.187,0.232,87.302,87.876,86.78
BiGRU+BiGRU,SELU,GELU,87.38,0.32,0.398,87.22,88.374,86.304
BiGRU+BiGRU,LeakyReLU,Tanh,87.38,0.158,0.196,87.36,87.528,87.304
BiGRU+BiGRU,PReLU,ELU,87.376,0.325,0.404,87.462,86.862,88.112
BiGRU+BiGRU,SELU,SELU,87.37,0.212,0.263,87.34,87.586,87.168
BiGRU+BiGRU,ELU,ReLU,87.366,0.294,0.366,87.15,88.68,85.8
BiGRU+BiGRU,Tanh,SELU,87.362,0.59,0.732,87.214,88.228,86.424
BiGRU+BiGRU,Tanh,Hardswish,87.36,0.451,0.56,87.202,88.3,86.292
BiGRU+BiGRU,LeakyReLU,PReLU,87.36,0.2,0.249,87.166,88.548,85.936
BiGRU+BiGRU,ELU,SiLU,87.356,0.324,0.403,87.408,87.074,87.844
