Architecture,Activation,isolated_acc,mean_as_partner,combo_gain
GRU,ELU,87.35,87.5,0.15
GRU,GELU,87.48,87.51,0.03
GRU,Hardswish,87.53,87.21,-0.32
GRU,LeakyReLU,87.46,87.51,0.05
GRU,Mish,87.79,87.5,-0.29
GRU,PReLU,87.52,87.45,-0.07
GRU,ReLU,87.34,87.51,0.17
GRU,SELU,87.5,87.35,-0.15
GRU,SiLU,87.65,87.46,-0.19
GRU,Tanh,87.21,87.25,0.04
BiGRU,ELU,87.5,87.31,-0.19
BiGRU,GELU,87.08,87.33,0.25
BiGRU,Hardswish,87.6,87.35,-0.25
BiGRU,LeakyReLU,87.19,87.32,0.13
BiGRU,Mish,86.05,87.2,1.15
BiGRU,PReLU,87.21,87.14,-0.07
BiGRU,ReLU,87.65,87.34,-0.31
BiGRU,SELU,87.82,87.36,-0.46
BiGRU,SiLU,87.89,87.44,-0.45
BiGRU,Tanh,86.91,87.21,0.3
BiLSTM,ELU,87.37,86.88,-0.49
BiLSTM,GELU,85.49,86.68,1.19
BiLSTM,Hardswish,86.88,86.72,-0.16
BiLSTM,LeakyReLU,86.79,86.9,0.11
BiLSTM,Mish,85.95,86.95,1.0
BiLSTM,PReLU,87.08,86.78,-0.3
BiLSTM,ReLU,86.85,86.82,-0.02
BiLSTM,SELU,86.79,86.78,-0.01
BiLSTM,SiLU,87.19,86.55,-0.64
BiLSTM,Tanh,86.76,86.91,0.15
