AF,best_epoch,epochs_trained,lr_reductions,test_acc,val_loss_e1,val_acc_e1,val_loss_e2,val_acc_e2,val_loss_e3,val_acc_e3,val_loss_e4,val_acc_e4,val_loss_e5,val_acc_e5,val_loss_e6,val_acc_e6,val_loss_e7,val_acc_e7,val_loss_e8,val_acc_e8,val_loss_e9,val_acc_e9,val_loss_e10,val_acc_e10
ReLU,3,6,1,87.66,0.6615,63.85,0.3392,85.2,0.2937,87.38,0.2941,87.72,0.303,88.22,0.4008,87.02,,,,,,,,
ELU,3,6,1,87.58,0.5702,71.3,0.3158,86.38,0.2952,87.83,0.3059,87.75,0.3215,87.85,0.4017,87.17,,,,,,,,
LeakyReLU,3,6,1,87.88,0.6556,65.05,0.3263,86.1,0.2879,87.8,0.2936,87.88,0.3065,88.35,0.3851,86.85,,,,,,,,
Tanh,3,6,1,87.95,0.6398,68.38,0.3176,86.55,0.2859,88.05,0.3103,87.85,0.3416,88.05,0.4264,87.2,,,,,,,,
GELU,3,6,1,87.99,0.4792,78.0,0.3139,85.85,0.2863,87.78,0.301,87.72,0.3307,87.35,0.4375,86.98,,,,,,,,
SiLU,3,6,1,88.43,0.5812,71.43,0.308,87.1,0.287,87.92,0.2992,87.7,0.3288,87.78,0.4532,86.65,,,,,,,,
Mish,3,6,1,88.48,0.4163,81.08,0.3038,87.58,0.2793,88.83,0.3056,87.83,0.3286,87.67,0.4564,86.98,,,,,,,,
SELU,3,6,1,87.64,0.6526,62.2,0.3293,85.9,0.2943,87.58,0.3055,87.92,0.3228,87.52,0.387,86.7,,,,,,,,
PReLU,3,6,1,88.03,0.5804,69.8,0.3251,86.22,0.2858,87.95,0.3024,87.78,0.3125,87.8,0.385,87.6,,,,,,,,
Hardswish,3,6,1,87.98,0.4648,78.1,0.3076,86.72,0.2856,87.78,0.3015,87.8,0.3193,87.8,0.3899,87.85,,,,,,,,
