af,seed,epoch,val_loss,val_acc
ReLU,42,1,0.6615,63.85
ReLU,42,2,0.3392,85.2
ReLU,42,3,0.2937,87.38
ReLU,42,4,0.2941,87.72
ReLU,42,5,0.303,88.22
ReLU,42,6,0.4008,87.02
ReLU,0,1,0.5867,70.45
ReLU,0,2,0.3229,86.25
ReLU,0,3,0.2852,88.58
ReLU,0,4,0.3008,88.15
ReLU,0,5,0.3261,88.08
ReLU,0,6,0.3777,87.17
ReLU,1,1,0.6858,49.83
ReLU,1,2,0.3339,85.58
ReLU,1,3,0.2899,87.8
ReLU,1,4,0.288,88.3
ReLU,1,5,0.3017,88.12
ReLU,1,6,0.3567,87.3
ReLU,1,7,0.408,86.88
ReLU,2,1,0.6699,60.45
ReLU,2,2,0.3274,85.95
ReLU,2,3,0.3016,87.67
ReLU,2,4,0.2932,88.55
ReLU,2,5,0.3192,88.17
ReLU,2,6,0.3875,87.67
ReLU,2,7,0.431,87.4
ReLU,3,1,0.6555,62.95
ReLU,3,2,0.3228,85.9
ReLU,3,3,0.2892,88.05
ReLU,3,4,0.2791,88.75
ReLU,3,5,0.3112,88.38
ReLU,3,6,0.3605,88.02
ReLU,3,7,0.452,86.85
ELU,42,1,0.5702,71.3
ELU,42,2,0.3158,86.38
ELU,42,3,0.2952,87.83
ELU,42,4,0.3059,87.75
ELU,42,5,0.3215,87.85
ELU,42,6,0.4017,87.17
ELU,0,1,0.6849,55.33
ELU,0,2,0.34,85.6
ELU,0,3,0.2851,88.2
ELU,0,4,0.2964,88.3
ELU,0,5,0.2987,88.78
ELU,0,6,0.3664,87.5
ELU,1,1,0.6774,59.1
ELU,1,2,0.3204,86.1
ELU,1,3,0.2995,87.65
ELU,1,4,0.2979,87.8
ELU,1,5,0.3161,87.92
ELU,1,6,0.3723,87.02
ELU,1,7,0.4252,86.78
ELU,2,1,0.6146,68.67
ELU,2,2,0.3167,86.4
ELU,2,3,0.2946,87.35
ELU,2,4,0.2962,88.42
ELU,2,5,0.3287,88.08
ELU,2,6,0.3794,87.75
ELU,3,1,0.6753,56.6
ELU,3,2,0.3095,86.75
ELU,3,3,0.2836,88.25
ELU,3,4,0.2887,88.5
ELU,3,5,0.3244,88.7
ELU,3,6,0.412,86.25
LeakyReLU,42,1,0.6556,65.05
LeakyReLU,42,2,0.3263,86.1
LeakyReLU,42,3,0.2879,87.8
LeakyReLU,42,4,0.2936,87.88
LeakyReLU,42,5,0.3065,88.35
LeakyReLU,42,6,0.3851,86.85
LeakyReLU,0,1,0.6681,61.0
LeakyReLU,0,2,0.3141,86.9
LeakyReLU,0,3,0.2815,88.52
LeakyReLU,0,4,0.2886,88.4
