af,seed,epoch,val_loss,val_acc
ReLU,10,1,0.611,69.92
ReLU,10,2,0.3472,84.45
ReLU,10,3,0.3148,86.83
ReLU,10,4,0.2884,87.72
ReLU,10,5,0.3199,87.42
ReLU,10,6,0.3459,87.33
ReLU,10,7,0.4034,86.65
ReLU,20,1,0.6472,64.68
ReLU,20,2,0.3235,86.45
ReLU,20,3,0.2978,87.9
ReLU,20,4,0.3383,86.6
ReLU,20,5,0.3412,87.42
ReLU,20,6,0.384,87.28
ReLU,30,1,0.6384,63.8
ReLU,30,2,0.3077,86.62
ReLU,30,3,0.2895,87.88
ReLU,30,4,0.2979,87.8
ReLU,30,5,0.3255,87.98
ReLU,30,6,0.3627,88.2
ReLU,40,1,0.6611,61.3
ReLU,40,2,0.3292,85.5
ReLU,40,3,0.2863,87.88
ReLU,40,4,0.2949,87.6
ReLU,40,5,0.327,87.62
ReLU,40,6,0.3556,87.35
ReLU,50,1,0.6898,49.83
ReLU,50,2,0.3439,85.28
ReLU,50,3,0.2964,87.38
ReLU,50,4,0.3021,87.98
ReLU,50,5,0.2989,88.33
ReLU,50,6,0.3338,87.9
ELU,10,1,0.6589,59.0
ELU,10,2,0.327,85.8
ELU,10,3,0.311,86.5
ELU,10,4,0.3083,87.35
ELU,10,5,0.3414,86.72
ELU,10,6,0.3391,87.05
ELU,10,7,0.4546,86.5
ELU,20,1,0.6385,66.72
ELU,20,2,0.3454,85.12
ELU,20,3,0.3012,86.9
ELU,20,4,0.3053,87.7
ELU,20,5,0.3679,86.72
ELU,20,6,0.3738,87.25
ELU,30,1,0.5306,73.98
ELU,30,2,0.3061,86.8
ELU,30,3,0.313,87.55
ELU,30,4,0.3019,87.92
ELU,30,5,0.343,87.95
ELU,30,6,0.3975,87.65
ELU,30,7,0.461,86.25
ELU,40,1,0.6615,62.15
ELU,40,2,0.3163,86.25
ELU,40,3,0.2834,88.25
ELU,40,4,0.2895,88.33
ELU,40,5,0.3245,87.45
ELU,40,6,0.3445,87.92
ELU,50,1,0.6538,63.22
ELU,50,2,0.3415,85.32
ELU,50,3,0.2924,87.75
ELU,50,4,0.3148,87.92
ELU,50,5,0.3169,88.12
ELU,50,6,0.3347,87.88
LeakyReLU,10,1,0.6491,60.35
LeakyReLU,10,2,0.3127,86.4
LeakyReLU,10,3,0.2947,87.6
LeakyReLU,10,4,0.2949,87.8
LeakyReLU,10,5,0.3346,87.25
LeakyReLU,10,6,0.3456,87.83
LeakyReLU,20,1,0.6922,51.65
LeakyReLU,20,2,0.344,85.15
LeakyReLU,20,3,0.2962,87.33
LeakyReLU,20,4,0.3248,86.52
LeakyReLU,20,5,0.3304,87.0
LeakyReLU,20,6,0.3812,87.92
LeakyReLU,30,1,0.6533,63.95
LeakyReLU,30,2,0.3171,86.17
LeakyReLU,30,3,0.2943,87.42
LeakyReLU,30,4,0.2965,87.67
LeakyReLU,30,5,0.3147,87.65
LeakyReLU,30,6,0.3633,87.45
LeakyReLU,40,1,0.6649,61.72
LeakyReLU,40,2,0.3273,86.15
LeakyReLU,40,3,0.2845,88.28
LeakyReLU,40,4,0.2929,87.83
LeakyReLU,40,5,0.3131,88.3
LeakyReLU,40,6,0.3385,87.8
LeakyReLU,50,1,0.6584,59.75
LeakyReLU,50,2,0.3191,86.6
LeakyReLU,50,3,0.2865,87.88
LeakyReLU,50,4,0.2935,88.55
LeakyReLU,50,5,0.3359,87.78
LeakyReLU,50,6,0.3643,88.0
Tanh,10,1,0.6477,64.4
Tanh,10,2,0.3332,85.52
Tanh,10,3,0.3158,86.88
Tanh,10,4,0.3092,87.6
Tanh,10,5,0.3477,87.38
Tanh,10,6,0.3627,87.15
Tanh,10,7,0.4354,86.95
Tanh,20,1,0.6575,62.48
Tanh,20,2,0.3623,83.95
Tanh,20,3,0.2983,87.52
Tanh,20,4,0.3212,87.12
Tanh,20,5,0.3414,86.52
Tanh,20,6,0.3527,88.02
Tanh,30,1,0.589,70.2
Tanh,30,2,0.316,86.7
Tanh,30,3,0.3087,87.45
Tanh,30,4,0.3032,87.9
Tanh,30,5,0.3363,87.35
Tanh,30,6,0.393,87.28
Tanh,30,7,0.4384,87.3
Tanh,40,1,0.6935,49.65
Tanh,40,2,0.3423,85.52
Tanh,40,3,0.3043,87.55
Tanh,40,4,0.2974,87.6
Tanh,40,5,0.3371,88.2
Tanh,40,6,0.3607,87.58
Tanh,40,7,0.4359,87.25
Tanh,50,1,0.6416,65.25
Tanh,50,2,0.3466,85.4
Tanh,50,3,0.2907,88.5
Tanh,50,4,0.2996,88.08
Tanh,50,5,0.3179,88.02
Tanh,50,6,0.3483,88.0
GELU,10,1,0.6043,71.73
GELU,10,2,0.3187,85.92
GELU,10,3,0.3068,86.85
GELU,10,4,0.299,87.8
GELU,10,5,0.336,86.78
GELU,10,6,0.3639,87.0
GELU,10,7,0.4555,87.17
GELU,20,1,0.6928,50.18
GELU,20,2,0.3257,85.92
GELU,20,3,0.2925,87.52
GELU,20,4,0.2975,88.05
GELU,20,5,0.3409,86.7
GELU,20,6,0.3948,87.95
GELU,30,1,0.6719,60.17
GELU,30,2,0.3342,85.75
GELU,30,3,0.312,86.7
GELU,30,4,0.2821,88.65
GELU,30,5,0.3042,88.42
GELU,30,6,0.3548,87.25
GELU,30,7,0.4716,87.4
GELU,40,1,0.6867,52.2
GELU,40,2,0.3466,84.9
GELU,40,3,0.2991,87.12
GELU,40,4,0.2958,87.28
GELU,40,5,0.3334,87.85
GELU,40,6,0.3509,87.48
GELU,40,7,0.4041,87.12
GELU,50,1,0.5737,72.02
GELU,50,2,0.32,86.83
GELU,50,3,0.2899,87.72
GELU,50,4,0.2991,88.0
GELU,50,5,0.3151,88.38
GELU,50,6,0.3499,87.9
SiLU,10,1,0.6013,68.1
SiLU,10,2,0.3168,85.85
SiLU,10,3,0.2989,87.42
SiLU,10,4,0.3025,88.15
SiLU,10,5,0.3258,87.7
SiLU,10,6,0.367,87.3
SiLU,20,1,0.4961,74.7
SiLU,20,2,0.3099,87.02
SiLU,20,3,0.2907,88.48
SiLU,20,4,0.3341,87.58
SiLU,20,5,0.3505,87.35
SiLU,20,6,0.402,87.67
SiLU,30,1,0.5848,69.88
SiLU,30,2,0.3054,86.83
SiLU,30,3,0.3148,87.28
SiLU,30,4,0.3041,88.1
SiLU,30,5,0.3353,87.65
SiLU,30,6,0.3789,87.88
SiLU,30,7,0.4495,86.83
SiLU,40,1,0.5737,72.92
SiLU,40,2,0.3036,86.88
SiLU,40,3,0.2909,87.83
SiLU,40,4,0.3023,88.1
SiLU,40,5,0.3442,87.33
SiLU,40,6,0.3661,87.72
SiLU,50,1,0.5723,71.5
SiLU,50,2,0.3115,86.95
SiLU,50,3,0.2851,87.92
SiLU,50,4,0.3048,88.05
SiLU,50,5,0.3315,87.67
SiLU,50,6,0.3839,87.95
Mish,10,1,0.6357,66.1
Mish,10,2,0.3082,86.35
Mish,10,3,0.2976,87.48
Mish,10,4,0.3036,87.67
Mish,10,5,0.3323,87.15
Mish,10,6,0.4048,86.3
Mish,20,1,0.4526,79.0
Mish,20,2,0.3172,86.4
Mish,20,3,0.2879,88.15
Mish,20,4,0.3112,87.88
Mish,20,5,0.3379,87.78
Mish,20,6,0.3907,87.25
Mish,30,1,0.6049,68.62
Mish,30,2,0.3156,86.9
Mish,30,3,0.3215,86.92
Mish,30,4,0.2896,88.42
Mish,30,5,0.3188,87.4
Mish,30,6,0.3757,87.02
Mish,30,7,0.4444,87.25
Mish,40,1,0.6559,65.48
Mish,40,2,0.3125,87.1
Mish,40,3,0.293,87.33
Mish,40,4,0.2903,87.98
Mish,40,5,0.325,88.12
Mish,40,6,0.3278,87.62
Mish,40,7,0.3941,88.22
Mish,50,1,0.5264,75.22
Mish,50,2,0.3093,87.2
Mish,50,3,0.2882,87.83
Mish,50,4,0.2987,88.35
Mish,50,5,0.3322,87.72
Mish,50,6,0.3598,88.08
SELU,10,1,0.6803,55.7
SELU,10,2,0.3393,84.88
SELU,10,3,0.3258,86.3
SELU,10,4,0.3126,87.48
SELU,10,5,0.3476,87.48
SELU,10,6,0.3427,86.7
SELU,10,7,0.432,86.1
SELU,20,1,0.6728,61.7
SELU,20,2,0.3924,83.23
SELU,20,3,0.3105,86.98
SELU,20,4,0.3284,87.08
SELU,20,5,0.3632,86.58
SELU,20,6,0.3779,86.95
SELU,30,1,0.6475,62.12
SELU,30,2,0.3323,86.2
SELU,30,3,0.3035,87.48
SELU,30,4,0.3036,87.42
SELU,30,5,0.3259,87.02
SELU,30,6,0.349,87.65
SELU,40,1,0.6806,54.77
SELU,40,2,0.3244,86.22
SELU,40,3,0.2842,88.52
SELU,40,4,0.2926,88.15
SELU,40,5,0.3289,87.9
SELU,40,6,0.3487,87.62
SELU,50,1,0.6676,59.62
SELU,50,2,0.3402,85.78
SELU,50,3,0.2923,87.88
SELU,50,4,0.3171,88.45
SELU,50,5,0.3162,87.8
SELU,50,6,0.3677,87.58
PReLU,10,1,0.5633,73.28
PReLU,10,2,0.3044,86.8
PReLU,10,3,0.2988,87.65
PReLU,10,4,0.3007,87.6
PReLU,10,5,0.3412,87.6
PReLU,10,6,0.3512,87.33
PReLU,20,1,0.5313,73.2
PReLU,20,2,0.3086,87.35
PReLU,20,3,0.2945,88.2
PReLU,20,4,0.3198,87.17
PReLU,20,5,0.3916,87.02
PReLU,20,6,0.411,87.42
PReLU,30,1,0.523,76.25
PReLU,30,2,0.311,86.58
PReLU,30,3,0.3056,87.2
PReLU,30,4,0.3092,87.5
PReLU,30,5,0.3539,86.85
PReLU,30,6,0.3832,87.25
PReLU,40,1,0.6788,53.42
PReLU,40,2,0.3513,84.8
PReLU,40,3,0.2957,87.25
PReLU,40,4,0.2928,87.98
PReLU,40,5,0.3185,88.2
PReLU,40,6,0.331,88.0
PReLU,40,7,0.3919,87.1
PReLU,50,1,0.5907,71.28
PReLU,50,2,0.3141,86.72
PReLU,50,3,0.2866,87.8
PReLU,50,4,0.2926,88.2
PReLU,50,5,0.3079,88.45
PReLU,50,6,0.3735,87.35
Hardswish,10,1,0.5763,70.08
Hardswish,10,2,0.307,86.9
Hardswish,10,3,0.3022,87.67
Hardswish,10,4,0.3035,87.98
Hardswish,10,5,0.3631,87.05
Hardswish,10,6,0.3769,86.83
Hardswish,20,1,0.4564,79.8
Hardswish,20,2,0.3127,86.72
Hardswish,20,3,0.2933,88.02
Hardswish,20,4,0.3036,87.72
Hardswish,20,5,0.3615,87.6
Hardswish,20,6,0.3973,87.62
Hardswish,30,1,0.5398,73.98
Hardswish,30,2,0.3099,87.08
Hardswish,30,3,0.3118,86.78
Hardswish,30,4,0.2935,87.75
Hardswish,30,5,0.33,87.48
Hardswish,30,6,0.3884,86.95
Hardswish,30,7,0.5096,86.98
Hardswish,40,1,0.6815,58.5
Hardswish,40,2,0.3132,86.65
Hardswish,40,3,0.2883,87.58
Hardswish,40,4,0.2924,87.85
Hardswish,40,5,0.3287,88.15
Hardswish,40,6,0.3386,87.85
Hardswish,50,1,0.5893,69.1
Hardswish,50,2,0.3139,86.78
Hardswish,50,3,0.2864,88.08
Hardswish,50,4,0.299,88.62
Hardswish,50,5,0.338,87.98
Hardswish,50,6,0.3492,87.92
