af,epoch,n_seeds,mean_val_loss,sd_val_loss,mean_val_acc
ELU,1,5,0.6287,0.0555,65.01
ELU,2,5,0.3273,0.0166,85.86
ELU,3,5,0.3002,0.0125,87.39
ELU,4,5,0.304,0.0094,87.84
ELU,5,5,0.3387,0.0197,87.39
ELU,6,5,0.3579,0.0269,87.55
GELU,1,5,0.6459,0.0536,61.26
GELU,2,5,0.329,0.0116,85.86
GELU,3,5,0.3001,0.0093,87.18
GELU,4,5,0.2947,0.0072,87.96
GELU,5,5,0.3259,0.0156,87.63
GELU,6,5,0.3629,0.0187,87.52
Hardswish,1,5,0.5687,0.0816,70.29
Hardswish,2,5,0.3113,0.0029,86.83
Hardswish,3,5,0.2964,0.0106,87.63
Hardswish,4,5,0.2984,0.0053,87.98
Hardswish,5,5,0.3443,0.0169,87.65
Hardswish,6,5,0.3701,0.0252,87.43
LeakyReLU,1,5,0.6636,0.0171,59.48
LeakyReLU,2,5,0.324,0.0124,86.09
LeakyReLU,3,5,0.2912,0.0053,87.7
LeakyReLU,4,5,0.3005,0.0136,87.67
LeakyReLU,5,5,0.3257,0.011,87.6
LeakyReLU,6,5,0.3586,0.0169,87.8
Mish,1,5,0.5751,0.0844,70.88
Mish,2,5,0.3126,0.0039,86.79
Mish,3,5,0.2976,0.0139,87.54
Mish,4,5,0.2987,0.0091,88.06
Mish,5,5,0.3292,0.0074,87.63
Mish,6,5,0.3718,0.0298,87.25
PReLU,1,5,0.5774,0.0627,69.49
PReLU,2,5,0.3179,0.019,86.45
PReLU,3,5,0.2962,0.0069,87.62
PReLU,4,5,0.303,0.0116,87.69
PReLU,5,5,0.3426,0.0328,87.62
PReLU,6,5,0.37,0.0306,87.47
ReLU,1,5,0.6495,0.029,61.91
ReLU,2,5,0.3303,0.016,85.66
ReLU,3,5,0.297,0.0111,87.57
ReLU,4,5,0.3043,0.0196,87.54
ReLU,5,5,0.3225,0.0154,87.75
ReLU,6,5,0.3564,0.0189,87.61
SELU,1,5,0.6698,0.0136,58.78
SELU,2,5,0.3457,0.0269,85.26
SELU,3,5,0.3033,0.0162,87.43
SELU,4,5,0.3109,0.0136,87.72
SELU,5,5,0.3364,0.0188,87.36
SELU,6,5,0.3572,0.0149,87.3
SiLU,1,5,0.5656,0.0406,71.42
SiLU,2,5,0.3094,0.0052,86.71
SiLU,3,5,0.2961,0.0116,87.79
SiLU,4,5,0.3096,0.0138,88.0
SiLU,5,5,0.3375,0.0099,87.54
SiLU,6,5,0.3796,0.0147,87.7
Tanh,1,5,0.6459,0.0376,62.4
Tanh,2,5,0.3401,0.0171,85.42
Tanh,3,5,0.3036,0.0096,87.58
Tanh,4,5,0.3061,0.0095,87.66
Tanh,5,5,0.3361,0.0111,87.49
Tanh,6,5,0.3635,0.0175,87.61
