af,acc_new,sd_new,acc_old,sd_old,rank_new,rank_old,d_acc
SiLU,71.42,2.5695,71.996,3.9529,1,4,-0.576
Mish,70.884,5.9558,74.028,5.9693,2,3,-3.144
Hardswish,70.292,7.8186,74.546,4.0501,3,1,-4.254
PReLU,69.486,9.1553,66.874,2.2171,4,5,2.612
ELU,65.014,5.7203,62.2,7.2945,5,8,2.814
Tanh,62.396,7.6735,62.762,7.5165,6,6,-0.366
ReLU,61.906,7.4449,61.506,7.5003,7,9,0.4
GELU,61.26,10.3855,74.214,3.3248,8,2,-12.954
LeakyReLU,59.484,4.6674,62.396,4.7325,9,7,-2.912
SELU,58.782,3.3895,59.242,3.7254,10,10,-0.46
