Act1,Act2,Accuracy,Precision,Recall,F1,Beat_Paper
Mish,PReLU,87.66,88.62,86.42,87.51,False
Hardswish,Mish,87.61,88.18,86.86,87.52,False
ReLU,LeakyReLU,87.56,87.74,87.32,87.53,False
LeakyReLU,Hardswish,87.48,85.74,89.92,87.78,False
Tanh,ReLU,87.46,88.26,86.42,87.33,False
Tanh,Tanh,87.46,88.01,86.74,87.37,False
SiLU,Mish,87.45,86.72,88.44,87.57,False
ELU,GELU,87.37,87.04,87.82,87.43,False
LeakyReLU,Mish,87.32,89.27,84.84,87.0,False
SELU,SELU,87.3,85.59,89.7,87.6,False
Hardswish,SELU,87.29,86.72,88.06,87.39,False
ReLU,SELU,87.25,86.16,88.76,87.44,False
Tanh,GELU,87.23,88.84,85.16,86.96,False
PReLU,GELU,87.22,87.52,86.82,87.17,False
PReLU,Tanh,87.2,87.04,87.42,87.23,False
SiLU,SiLU,87.17,89.67,84.02,86.75,False
LeakyReLU,GELU,87.17,88.0,86.08,87.03,False
Mish,Mish,87.16,86.32,88.32,87.31,False
SELU,ReLU,87.16,88.76,85.1,86.89,False
SiLU,ReLU,87.16,86.98,87.4,87.19,False
Tanh,SELU,87.13,86.06,88.62,87.32,False
GELU,PReLU,87.12,85.42,89.52,87.42,False
Tanh,LeakyReLU,87.1,87.92,86.02,86.96,False
Mish,ReLU,87.08,88.72,84.96,86.8,False
ELU,ReLU,87.08,87.23,86.88,87.05,False
LeakyReLU,ReLU,87.03,88.21,85.48,86.83,False
Hardswish,Tanh,87.01,87.62,86.2,86.9,False
Tanh,Hardswish,86.99,85.29,89.4,87.3,False
GELU,ReLU,86.99,87.68,86.08,86.87,False
Mish,SELU,86.98,85.49,89.08,87.25,False
SiLU,Tanh,86.97,84.47,90.6,87.43,False
Mish,ELU,86.96,84.65,90.3,87.38,False
Tanh,ELU,86.95,86.43,87.66,87.04,False
PReLU,Mish,86.95,86.49,87.58,87.03,False
Mish,Tanh,86.93,87.91,85.64,86.76,False
Hardswish,LeakyReLU,86.92,85.04,89.6,87.26,False
Mish,Hardswish,86.91,84.74,90.04,87.31,False
SELU,Hardswish,86.9,86.93,86.86,86.89,False
ReLU,ELU,86.9,86.77,87.08,86.92,False
Hardswish,PReLU,86.89,86.65,87.22,86.93,False
PReLU,SELU,86.86,88.46,84.78,86.58,False
PReLU,SiLU,86.84,87.38,86.12,86.74,False
GELU,ELU,86.84,88.93,84.16,86.48,False
ELU,SiLU,86.82,86.08,87.84,86.95,False
PReLU,PReLU,86.82,86.6,87.12,86.86,False
PReLU,LeakyReLU,86.82,87.49,85.92,86.7,False
ELU,Mish,86.81,86.04,87.88,86.95,False
ReLU,Hardswish,86.8,85.44,88.72,87.05,False
SELU,SiLU,86.79,83.93,91.0,87.32,False
PReLU,Hardswish,86.78,85.79,88.16,86.96,False
GELU,Mish,86.77,85.38,88.74,87.03,False
Hardswish,SiLU,86.75,86.16,87.56,86.86,False
SiLU,ELU,86.74,89.05,83.78,86.34,False
SELU,PReLU,86.72,84.24,90.34,87.18,False
SELU,LeakyReLU,86.71,84.69,89.62,87.09,False
LeakyReLU,ELU,86.69,87.35,85.8,86.57,False
ELU,SELU,86.68,85.15,88.86,86.96,False
ReLU,Mish,86.68,87.77,85.24,86.49,False
Tanh,Mish,86.67,87.69,85.32,86.49,False
GELU,GELU,86.65,87.45,85.58,86.51,False
PReLU,ReLU,86.63,88.02,84.8,86.38,False
Hardswish,ELU,86.62,85.96,87.54,86.74,False
GELU,SELU,86.61,85.86,87.66,86.75,False
ReLU,ReLU,86.59,85.41,88.26,86.81,False
Mish,SiLU,86.58,86.96,86.06,86.51,False
Hardswish,Hardswish,86.58,83.93,90.48,87.08,False
SiLU,GELU,86.56,88.0,84.66,86.3,False
GELU,SiLU,86.56,85.72,87.74,86.72,False
LeakyReLU,SiLU,86.55,83.06,91.82,87.22,False
SELU,Mish,86.55,83.67,90.82,87.1,False
SELU,Tanh,86.52,86.33,86.78,86.55,False
ReLU,GELU,86.52,87.05,85.8,86.42,False
PReLU,ELU,86.5,84.33,89.66,86.91,False
ELU,ELU,86.49,89.64,82.52,85.93,False
GELU,Tanh,86.47,87.24,85.44,86.33,False
Mish,GELU,86.45,84.3,89.58,86.86,False
GELU,Hardswish,86.43,85.44,87.82,86.62,False
Tanh,PReLU,86.43,84.48,89.26,86.8,False
SiLU,SELU,86.42,87.98,84.36,86.13,False
LeakyReLU,LeakyReLU,86.34,83.61,90.4,86.87,False
SiLU,Hardswish,86.33,86.37,86.28,86.32,False
